line_no,doi,compound,entity,title,year,authors,existing_sources
104,10.1016/j.seizure.2025.02.002,,,Apparent efficacy of NMDAR antagonist use as a targeted therapy for status epilepticus in an infant with ATP1A2-related developmental epileptic encephalopathy.,2025,Orgun LT; Deniz A; Güneş AS; Akkoyunlu D; Cırdı G; Gök A; Kara B,candidate_paper_corpus | mechanistic:paper_library
105,10.1021/acsptsci.5c00202,,,Assessing the Potential Cardiovascular Risk of Microdosing the Psychedelic LSD in Mice.,2025,Effinger DP; Schalk SS; King JL; Wallingford JR; O'Connell CK; Calderon JR; Kopecky BJ; McCorvy JD; Thompson SM,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
106,10.1007/s43440-024-00679-1,,,Assessing the effects of 5-HT(2A) and 5-HT(5A) receptor antagonists on DOI-induced head-twitch response in male rats using marker-less deep learning algorithms.,2025,Cyrano E; Popik P,candidate_paper_corpus | mechanistic:curated | mechanistic:paper_library | mechanistic:stubs
108,10.1177/02698811241301216,,,Ayahuasca enhances the formation of hippocampal-dependent episodic memory without impacting false memory susceptibility in experienced ayahuasca users: An observational study.,2025,Doss MK; Kloft L; Mason NL; Mallaroni P; Reckweg JT; van Oorsouw K; Tupper N; Otgaar H; Ramaekers JG,candidate_paper_corpus | disorder:paper_library
109,10.1016/j.biopsych.2025.11.021,,,Bifunctional Modulation of NMDA and Opioid Receptors in Ketamine Reinforcement and Misuse: Implications for Substance Use Disorder Treatment.,2025,Levinstein MR; Schoenborn I; Manza P; Schatzberg AF; Zarate CA Jr; Jordi Bonaventura; Michaelides M,candidate_paper_corpus | disorder:curated | disorder:paper_library | mechanistic:paper_library
110,10.1016/j.biopha.2025.118199,,,Can ketamine therapy overcome treatment-resistant depression in Alzheimer's disease and older adults? Preclinical and clinical evidence.,2025,Mario A; Ivana L; Claudia MM; Antonello B; Francesco P; Tommaso C; Madia L,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
112,10.1038/s41386-025-02107-1,,,"Chronic, combinatorial targeting of NMDARs and 5-HT(4)Rs exerts extended behavioral effects against stress-induced perseverative behavior and hyponeophagia.",2025,Chen BK; Whye A; Matthews LC; Moniz T; Mendez-David I; Gardier AM; David DJ; Johns S; Weisblum E; Denny CA,candidate_paper_corpus | mechanistic:paper_library
116,10.3390/ijms262110526,,,Crosstalk Between Glycinergic and N-Methyl-D-Aspartate Receptor-Mediated Glutamatergic Transmission in Behaviours Associated with Opioid Use Disorder.,2025,Essmat N; Boldizsár I Jr; Chalabiani Y; Varga BT; Abbood SK; Kirchlechner-Farkas JM; Király K; Miklya I; Gyertyán I; Tábi T,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
117,10.3390/ph18020157,,,"Demystifying the Antidepressant Mechanism of Action of Stinels, a Novel Class of Neuroplastogens: Positive Allosteric Modulators of the NMDA Receptor.",2025,Donello JE; McIntyre RS; Pickel DB; Stahl SM,candidate_paper_corpus | mechanistic:curated | mechanistic:paper_library
119,10.1021/acs.jmedchem.5c00442,,,"Design, Synthesis, and In Vitro Characterization of a Tryptamine-Based Visible-Light Photoswitchable 5-HT(2A)R Ligand Showing Efficacy Preference for β-Arrestin over Mini-Gq.",2025,Sink A; Pottie E; Carter SJ; Tombari RJ; Weber V; Carloni P; Rossetti G; Olson DE; Stove CP; Decker M,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
120,10.1021/acschemneuro.5c00468,,,Dual Modulation of 5-HT(2A) Receptors and SERT by α-Ethyltryptamine and Its Optical Isomers.,2025,Silverman JM; Fiorillo M; Younkin J; Jones CB; Maltman JL; Herszenhorn I; Artigas A; Wolstenholme JT; Dukat M; González-Maeso J,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
126,10.1007/s00213-023-06474-9,,,"Effects of psilocybin, the 5-HT(2A) receptor agonist TCB-2, and the 5-HT(2A) receptor antagonist M100907 on visual attention in male mice in the continuous performance test.",2025,Rahbarnia A; Li Z; Fletcher PJ,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
