doi,mapping_status,current_pmid,verified_pmid,current_pmcid,verified_pmcid,verified_doi,idconv_status,idconv_error
10.1001/jamapsychiatry.2017.3739,pmcid_verified,29282469,29282469,PMC5838571,PMC5838571,10.1001/jamapsychiatry.2017.3739,,
10.1001/jamapsychiatry.2018.3990,pmcid_verified,30624551,30624551,PMC6439824,PMC6439824,10.1001/jamapsychiatry.2018.3990,,
10.1001/jamapsychiatry.2019.0638,pmcid_verified,31017639,31017639,PMC6487906,PMC6487906,10.1001/jamapsychiatry.2019.0638,,
10.1001/jamapsychiatry.2019.1189,pmcid_verified,31166571,31166571,PMC6551577,PMC6551577,10.1001/jamapsychiatry.2019.1189,,
10.1001/jamapsychiatry.2020.3285,pmcid_verified,33146667,33146667,PMC7643046,PMC7643046,10.1001/jamapsychiatry.2020.3285,,
10.1001/jamapsychiatry.2022.0665,pmcid_verified,35476015,35476015,PMC10039620,PMC10039620,10.1001/jamapsychiatry.2022.0665,,
10.1001/jamapsychiatry.2022.1074,pmcid_verified,35544190,35544190,PMC9096687,PMC9096687,10.1001/jamapsychiatry.2022.1074,,
10.1001/jamapsychiatry.2022.2096,pmcid_verified,36001306,36001306,PMC9403854,PMC9403854,10.1001/jamapsychiatry.2022.2096,,
10.1001/jamapsychiatry.2022.2996,pmcid_verified,36169969,36169969,PMC9520441,PMC9520441,10.1001/jamapsychiatry.2022.2996,,
10.1001/jamapsychiatry.2022.3352,pmcid_verified,36260324,36260324,PMC9582972,PMC9582972,10.1001/jamapsychiatry.2022.3352,,
10.1001/jamapsychiatry.2022.4020,pmcid_verified,36449315,36449315,PMC10297827,PMC10297827,10.1001/jamapsychiatry.2022.4020,,
10.1001/jamapsychiatry.2022.4101,pmcid_verified,36477830,36477830,PMC10069558,PMC10069558,10.1001/jamapsychiatry.2022.4101,,
10.1001/jamapsychiatry.2023.0562,pmcid_verified,37043224,37043224,PMC10099100,PMC10099100,10.1001/jamapsychiatry.2023.0562,,
10.1001/jamapsychiatry.2023.1675,pmcid_verified,37285133,37285133,PMC10248814,PMC10248814,10.1001/jamapsychiatry.2023.1675,,
10.1001/jamapsychiatry.2023.3867,pmcid_verified,37819655,37819655,PMC10568444,PMC10568444,10.1001/jamapsychiatry.2023.3867,,
10.1001/jamapsychiatry.2023.4685,pmcid_verified,38055270,38055270,PMC10701666,PMC10701666,10.1001/jamapsychiatry.2023.4685,,
10.1001/jamapsychiatry.2024.0047,pmcid_verified,38477889,38477889,PMC10938246,PMC10938246,10.1001/jamapsychiatry.2024.0047,,
10.1001/jamapsychiatry.2024.0420,no_pmcid,38598200,,,,10.1001/jamapsychiatry.2024.0420,error,Identifier not found in PMC
10.1001/jamapsychiatry.2024.2546,pmcid_verified,39230883,39230883,PMC11375525,PMC11375525,10.1001/jamapsychiatry.2024.2546,,
10.1001/jamapsychiatry.2024.2854,pmcid_verified,39320902,39320902,PMC11425183,PMC11425183,10.1001/jamapsychiatry.2024.2854,,
10.1001/jamapsychiatry.2024.3532,pmcid_verified,39535804,39535804,PMC11561722,PMC11561722,10.1001/jamapsychiatry.2024.3532,,
10.1001/jamapsychiatry.2024.4387,pmcid_verified,39653344,39653344,PMC11883523,PMC11883523,10.1001/jamapsychiatry.2024.4387,,
10.1001/jamapsychiatry.2025.0044,pmcid_verified,40105807,40105807,PMC11923771,PMC11923771,10.1001/jamapsychiatry.2025.0044,,
10.1001/jamapsychiatry.2025.1317,pmcid_verified,40601310,40601310,PMC12224050,PMC12224050,10.1001/jamapsychiatry.2025.1317,,
10.1001/jamapsychiatry.2025.3019,pmcid_verified,41123905,41123905,PMC12547681,PMC12547681,10.1001/jamapsychiatry.2025.3019,,
10.1001/jamapsychiatry.2025.3032,no_pmcid,41160041,,,,10.1001/jamapsychiatry.2025.3032,error,Identifier not found in PMC
10.1001/jamapsychiatry.2026.0132,pmcid_verified,41848690,41848690,PMC13000742,PMC13000742,10.1001/jamapsychiatry.2026.0132,,
10.1002/14651858.cd003351.pub3,pmcid_verified,28657160,28657160,PMC6481583,PMC6481583,10.1002/14651858.cd003351.pub3,,
10.1002/14651858.cd006380.pub3,pmcid_verified,27737513,27737513,PMC6472447,PMC6472447,10.1002/14651858.cd006380.pub3,,
10.1002/14651858.cd007896.pub4,pmcid_verified,40152309,40152309,PMC11951410,PMC11951410,10.1002/14651858.cd007896.pub4,,
10.1002/14651858.cd008307.pub2,pmcid_verified,23881791,23881791,PMC6481826,PMC6481826,10.1002/14651858.cd008307.pub2,,
10.1002/14651858.cd008921.pub2,pmcid_verified,22258992,22258992,PMC6956614,PMC6956614,10.1002/14651858.cd008921.pub2,,
10.1002/14651858.cd009416.pub2,pmcid_verified,23633371,23633371,PMC6469537,PMC6469537,10.1002/14651858.cd009416.pub2,,
10.1002/14651858.cd011006.pub4,pmcid_verified,36999619,36999619,PMC10065046,PMC10065046,10.1002/14651858.cd011006.pub4,,
10.1002/14651858.cd011022.pub3,pmcid_verified,37549216,37549216,PMC10405778,PMC10405778,10.1002/14651858.cd011022.pub3,,
10.1002/14651858.cd011611.pub3,pmcid_verified,34623633,34623633,PMC8499740,PMC8499740,10.1002/14651858.cd011611.pub3,,
10.1002/14651858.cd011612.pub3,pmcid_verified,34510411,34510411,PMC8434915,PMC8434915,10.1002/14651858.cd011612.pub3,,
10.1002/14651858.cd012859.pub2,pmcid_verified,33075160,33075160,PMC8094506,PMC8094506,10.1002/14651858.cd012859.pub2,,
10.1002/14651858.cd015071,pmcid_missing_locally,,,,PMC8785703,10.1002/14651858.cd015071,,
