doi,repair_groups,current_state,current_canonical_path,current_backend,current_identity_status,backup_artifact_path,old_artifact_backend,old_artifact_pdf_local_path,old_artifact_pdf_path_exists,active_pdf_path,active_pdf_sha256,active_pdf_bytes,canonical_reference_dois,candidate_references,cross_doi_candidate_references,quarantine_reasons,quarantine_classification,inventory_identity_class,inventory_artifact_header_doi,inventory_artifact_header_title,inventory_title_similarity,correct_acquisition_method,action,old_artifact_pdf_basename_matches_active,equivalent_alias_candidate_references
10.31986/issn.2689-0690_rdw.stratford_research_day.149_2024,"[""quarantined""]",quarantined_no_canonical_artifact,,,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/quarantined_artifacts/10_31986_issn_2689_0690_rdw_stratford_research_day_149_2024.json,grobid,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.31986_issn.2689-0690_rdw.stratford_research_day.149_2024__b51be9aa2c.pdf,False,,,0,[],[],[],"[""identity_unverified"", ""unsegmented_proceedings_container""]",proceedings_container,,,,,,no_active_pdf,,
10.32383/farmpol/215392,"[""replaced""]",retained_verified_canonical_artifact,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_32383_farmpol_215392.json,grobid,verified_title_only,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/replaced_artifacts/10_32383_farmpol_215392.json,grobid,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/disorder/pdfs/10.32383_farmpol_215392__a4cfd07d40.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.32383_farmpol_215392__a4cfd07d40.pdf,332100abfbad5c8e26fbcce5c713af88c69a167a37026c805921d09bb8f1bb97,375013,"[""10.32383/farmpol/215392""]","[{""row_index"": 47742, ""doi"": ""10.32383/farmpol/215392"", ""study_title"": ""Natural Hallucinogens in Clinical Studies: A Review of Therapeutic Efficacy and Methodological Limitations"", ""pdf_download_status"": ""already_present"", ""flag_has_local_pdf"": true, ""has_converted_full_text"": true, ""fulltext_artifact_paths"": ""/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_32383_farmpol_215392.json"", ""fields"": [""local_pdf_paths"", ""pdf_local_path""]}]",[],"[""identity_mismatch""]",ambiguous_non_pmc_conflict,,,,,,retain_validated_pdf,True,[]
10.32388/6gur54,"[""replaced""]",retained_verified_canonical_artifact,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_32388_6gur54.json,grobid,verified_exact_doi,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/replaced_artifacts/10_32388_6gur54.json,docling,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.32388_6gur54__ebbf0a923a.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.32388_6gur54__ebbf0a923a.pdf,5a0a6cb0582fcfc512366498534cb3b4dc0ca333ada778a796745cee32083abe,17883,"[""10.32388/6gur54""]","[{""row_index"": 47757, ""doi"": ""10.32388/6gur54"", ""study_title"": ""Histamine H2 Receptor"", ""pdf_download_status"": ""already_present"", ""flag_has_local_pdf"": true, ""has_converted_full_text"": true, ""fulltext_artifact_paths"": ""/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_32388_6gur54.json"", ""fields"": [""local_pdf_paths"", ""pdf_local_path""]}]",[],[],,,,,,,retain_validated_pdf,True,[]
10.32388/6lzi40,"[""replaced""]",retained_verified_canonical_artifact,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_32388_6lzi40.json,grobid,verified_exact_doi,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/replaced_artifacts/10_32388_6lzi40.json,docling,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.32388_6lzi40__0e117d1fa1.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.32388_6lzi40__0e117d1fa1.pdf,8fa076f2971c91f3b5a0c37c0f743092b123dfe657098cc320ab3d227e9a604f,17477,"[""10.32388/6lzi40""]","[{""row_index"": 47759, ""doi"": ""10.32388/6lzi40"", ""study_title"": ""5-Hydroxytryptamine Receptor 2C"", ""pdf_download_status"": ""already_present"", ""flag_has_local_pdf"": true, ""has_converted_full_text"": true, ""fulltext_artifact_paths"": ""/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_32388_6lzi40.json"", ""fields"": [""local_pdf_paths"", ""pdf_local_path""]}]",[],[],,,,,,,retain_validated_pdf,True,[]
10.32388/afll3v,"[""replaced""]",retained_verified_canonical_artifact,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_32388_afll3v.json,grobid,verified_exact_doi,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/replaced_artifacts/10_32388_afll3v.json,docling,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.32388_afll3v__4396027cf5.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.32388_afll3v__4396027cf5.pdf,447810ae73b60ee5cba94a1477fa9ea26f56754d9e4dc0de480b19c017f773a2,16450,"[""10.32388/afll3v""]","[{""row_index"": 47766, ""doi"": ""10.32388/afll3v"", ""study_title"": ""GRM2 Gene"", ""pdf_download_status"": ""already_present"", ""flag_has_local_pdf"": true, ""has_converted_full_text"": true, ""fulltext_artifact_paths"": ""/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_32388_afll3v.json"", ""fields"": [""local_pdf_paths"", ""pdf_local_path""]}]",[],[],,,,,,,retain_validated_pdf,True,[]
10.32388/ik42fe,"[""replaced""]",retained_verified_canonical_artifact,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_32388_ik42fe.json,grobid,verified_exact_doi,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/replaced_artifacts/10_32388_ik42fe.json,docling,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.32388_ik42fe__6f63b9f25a.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.32388_ik42fe__6f63b9f25a.pdf,dab5a329a17190d90d6c0b59a79c276de9bc5c2def568b0bd58876f2cb568271,16895,"[""10.32388/ik42fe""]","[{""row_index"": 47780, ""doi"": ""10.32388/ik42fe"", ""study_title"": ""Adrenergic Receptor"", ""pdf_download_status"": ""already_present"", ""flag_has_local_pdf"": true, ""has_converted_full_text"": true, ""fulltext_artifact_paths"": ""/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_32388_ik42fe.json"", ""fields"": [""local_pdf_paths"", ""pdf_local_path""]}]",[],[],,,,,,,retain_validated_pdf,True,[]
10.32388/pctl2o,"[""quarantined""]",quarantined_no_canonical_artifact,,,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/quarantined_artifacts/10_32388_pctl2o.json,docling,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.32388_pctl2o__65bb09e623.pdf,False,,,0,[],[],[],"[""identity_unverified""]",,,,,,,no_active_pdf,,
10.32388/t3em5e.2,"[""replaced""]",retained_verified_canonical_artifact,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_32388_t3em5e_2.json,grobid,verified_exact_doi,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/replaced_artifacts/10_32388_t3em5e_2.json,grobid,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/disorder/pdfs/10.32388_t3em5e.2__814b8b6082.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.32388_t3em5e.2__814b8b6082.pdf,91665a0d6cc2a1c5e76db5cddbbf7f22157defdfb8599dcbbb86a262bb9aab00,235044,"[""10.32388/t3em5e.2""]","[{""row_index"": 47808, ""doi"": ""10.32388/t3em5e.2"", ""study_title"": ""Psychedelic drugs as a long-needed innovation in psychiatry"", ""pdf_download_status"": ""downloaded"", ""flag_has_local_pdf"": true, ""has_converted_full_text"": true, ""fulltext_artifact_paths"": ""/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_32388_t3em5e_2.json"", ""fields"": [""local_pdf_paths"", ""pdf_local_path""]}]",[],[],,,,,,,retain_validated_pdf,True,[]
10.32592/yafteh.2024.26.3.45,"[""quarantined""]",quarantined_no_canonical_artifact,,,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/quarantined_artifacts/10_32592_yafteh_2024_26_3_45.json,docling,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/disorder/pdfs/10.32592_yafteh.2024.26.3.45__a62e9b6711.pdf,False,,,0,[],[],[],"[""identity_unverified""]",,,,,,,no_active_pdf,,
10.33015/dominican.edu/2024.nurs.rp.19,"[""quarantined""]",quarantined_no_canonical_artifact,,,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/quarantined_artifacts/10_33015_dominican_edu_2024_nurs_rp_19.json,grobid,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.33015_dominican.edu_2024.nurs.rp.19__7b88d59c78.pdf,False,,,0,[],[],[],"[""target_text_with_conflicting_doi""]",repository_or_nested_document,,,,,,no_active_pdf,,
