# query|compound|entity
2C-I D2 receptor DRD2 binding affinity Ki|2C-I|D2 receptor (DRD2)
2C-I D2 receptor DRD2 receptor pharmacology assay|2C-I|D2 receptor (DRD2)
2C-I D2 receptor DRD2 functional assay agonist antagonist|2C-I|D2 receptor (DRD2)
2C-I D3 receptor DRD3 binding affinity Ki|2C-I|D3 receptor (DRD3)
2C-I D3 receptor DRD3 receptor pharmacology assay|2C-I|D3 receptor (DRD3)
2C-I D3 receptor DRD3 functional assay agonist antagonist|2C-I|D3 receptor (DRD3)
2C-I D4 receptor DRD4 binding affinity Ki|2C-I|D4 receptor (DRD4)
2C-I D4 receptor DRD4 receptor pharmacology assay|2C-I|D4 receptor (DRD4)
2C-I D4 receptor DRD4 functional assay agonist antagonist|2C-I|D4 receptor (DRD4)
2C-I D5 receptor DRD5 binding affinity Ki|2C-I|D5 receptor (DRD5)
2C-I D5 receptor DRD5 receptor pharmacology assay|2C-I|D5 receptor (DRD5)
2C-I D5 receptor DRD5 functional assay agonist antagonist|2C-I|D5 receptor (DRD5)
2C-I Alpha1A adrenergic receptor ADRA1A binding affinity Ki|2C-I|Alpha1A adrenergic receptor (ADRA1A)
2C-I Alpha1A adrenergic receptor ADRA1A receptor pharmacology assay|2C-I|Alpha1A adrenergic receptor (ADRA1A)
2C-I Alpha1A adrenergic receptor ADRA1A functional assay agonist antagonist|2C-I|Alpha1A adrenergic receptor (ADRA1A)
2C-I Alpha1B adrenergic receptor ADRA1B binding affinity Ki|2C-I|Alpha1B adrenergic receptor (ADRA1B)
2C-I Alpha1B adrenergic receptor ADRA1B receptor pharmacology assay|2C-I|Alpha1B adrenergic receptor (ADRA1B)
2C-I Alpha1B adrenergic receptor ADRA1B functional assay agonist antagonist|2C-I|Alpha1B adrenergic receptor (ADRA1B)
2C-I Alpha2A adrenergic receptor ADRA2A binding affinity Ki|2C-I|Alpha2A adrenergic receptor (ADRA2A)
2C-I Alpha2A adrenergic receptor ADRA2A receptor pharmacology assay|2C-I|Alpha2A adrenergic receptor (ADRA2A)
2C-I Alpha2A adrenergic receptor ADRA2A functional assay agonist antagonist|2C-I|Alpha2A adrenergic receptor (ADRA2A)
2C-I Alpha2B adrenergic receptor ADRA2B binding affinity Ki|2C-I|Alpha2B adrenergic receptor (ADRA2B)
2C-I Alpha2B adrenergic receptor ADRA2B receptor pharmacology assay|2C-I|Alpha2B adrenergic receptor (ADRA2B)
2C-I Alpha2B adrenergic receptor ADRA2B functional assay agonist antagonist|2C-I|Alpha2B adrenergic receptor (ADRA2B)
2C-I Alpha2C adrenergic receptor ADRA2C binding affinity Ki|2C-I|Alpha2C adrenergic receptor (ADRA2C)
2C-I Alpha2C adrenergic receptor ADRA2C receptor pharmacology assay|2C-I|Alpha2C adrenergic receptor (ADRA2C)
2C-I Alpha2C adrenergic receptor ADRA2C functional assay agonist antagonist|2C-I|Alpha2C adrenergic receptor (ADRA2C)
2C-I Beta1 adrenergic receptor ADRB1 binding affinity Ki|2C-I|Beta1 adrenergic receptor (ADRB1)
2C-I Beta1 adrenergic receptor ADRB1 receptor pharmacology assay|2C-I|Beta1 adrenergic receptor (ADRB1)
2C-I Beta1 adrenergic receptor ADRB1 functional assay agonist antagonist|2C-I|Beta1 adrenergic receptor (ADRB1)
2C-I Beta2 adrenergic receptor ADRB2 binding affinity Ki|2C-I|Beta2 adrenergic receptor (ADRB2)
2C-I Beta2 adrenergic receptor ADRB2 receptor pharmacology assay|2C-I|Beta2 adrenergic receptor (ADRB2)
2C-I Beta2 adrenergic receptor ADRB2 functional assay agonist antagonist|2C-I|Beta2 adrenergic receptor (ADRB2)
2C-I M1 muscarinic receptor CHRM1 binding affinity Ki|2C-I|M1 muscarinic receptor (CHRM1)
2C-I M1 muscarinic receptor CHRM1 receptor pharmacology assay|2C-I|M1 muscarinic receptor (CHRM1)
2C-I M1 muscarinic receptor CHRM1 functional assay agonist antagonist|2C-I|M1 muscarinic receptor (CHRM1)
2C-I M2 muscarinic receptor CHRM2 binding affinity Ki|2C-I|M2 muscarinic receptor (CHRM2)
2C-I M2 muscarinic receptor CHRM2 receptor pharmacology assay|2C-I|M2 muscarinic receptor (CHRM2)
2C-I M2 muscarinic receptor CHRM2 functional assay agonist antagonist|2C-I|M2 muscarinic receptor (CHRM2)
2C-I M3 muscarinic receptor CHRM3 binding affinity Ki|2C-I|M3 muscarinic receptor (CHRM3)
2C-I M3 muscarinic receptor CHRM3 receptor pharmacology assay|2C-I|M3 muscarinic receptor (CHRM3)
2C-I M3 muscarinic receptor CHRM3 functional assay agonist antagonist|2C-I|M3 muscarinic receptor (CHRM3)
2C-I M4 muscarinic receptor CHRM4 binding affinity Ki|2C-I|M4 muscarinic receptor (CHRM4)
2C-I M4 muscarinic receptor CHRM4 receptor pharmacology assay|2C-I|M4 muscarinic receptor (CHRM4)
2C-I M4 muscarinic receptor CHRM4 functional assay agonist antagonist|2C-I|M4 muscarinic receptor (CHRM4)
2C-I M5 muscarinic receptor CHRM5 binding affinity Ki|2C-I|M5 muscarinic receptor (CHRM5)
2C-I M5 muscarinic receptor CHRM5 receptor pharmacology assay|2C-I|M5 muscarinic receptor (CHRM5)
2C-I M5 muscarinic receptor CHRM5 functional assay agonist antagonist|2C-I|M5 muscarinic receptor (CHRM5)
2C-I H1 receptor HRH1 binding affinity Ki|2C-I|H1 receptor (HRH1)
2C-I H1 receptor HRH1 receptor pharmacology assay|2C-I|H1 receptor (HRH1)
2C-I H1 receptor HRH1 functional assay agonist antagonist|2C-I|H1 receptor (HRH1)
2C-I H2 receptor HRH2 binding affinity Ki|2C-I|H2 receptor (HRH2)
2C-I H2 receptor HRH2 receptor pharmacology assay|2C-I|H2 receptor (HRH2)
2C-I H2 receptor HRH2 functional assay agonist antagonist|2C-I|H2 receptor (HRH2)
2C-I Sigma-1 receptor SIGMAR1 binding affinity Ki|2C-I|Sigma-1 receptor (SIGMAR1)
2C-I Sigma-1 receptor SIGMAR1 receptor pharmacology assay|2C-I|Sigma-1 receptor (SIGMAR1)
2C-I Sigma-1 receptor SIGMAR1 functional assay agonist antagonist|2C-I|Sigma-1 receptor (SIGMAR1)
2C-I Sigma-2 receptor TMEM97 binding affinity Ki|2C-I|Sigma-2 receptor (TMEM97)
2C-I Sigma-2 receptor TMEM97 receptor pharmacology assay|2C-I|Sigma-2 receptor (TMEM97)
2C-I Sigma-2 receptor TMEM97 functional assay agonist antagonist|2C-I|Sigma-2 receptor (TMEM97)
2C-I kappa opioid receptor OPRK1 binding affinity Ki|2C-I|kappa opioid receptor (OPRK1)
2C-I kappa opioid receptor OPRK1 receptor pharmacology assay|2C-I|kappa opioid receptor (OPRK1)
2C-I kappa opioid receptor OPRK1 functional assay agonist antagonist|2C-I|kappa opioid receptor (OPRK1)
2C-I mu opioid receptor OPRM1 binding affinity Ki|2C-I|mu opioid receptor (OPRM1)
2C-I mu opioid receptor OPRM1 receptor pharmacology assay|2C-I|mu opioid receptor (OPRM1)
2C-I mu opioid receptor OPRM1 functional assay agonist antagonist|2C-I|mu opioid receptor (OPRM1)
2C-I delta opioid receptor OPRD1 binding affinity Ki|2C-I|delta opioid receptor (OPRD1)
2C-I delta opioid receptor OPRD1 receptor pharmacology assay|2C-I|delta opioid receptor (OPRD1)
2C-I delta opioid receptor OPRD1 functional assay agonist antagonist|2C-I|delta opioid receptor (OPRD1)
2C-I NMDA receptor binding affinity Ki|2C-I|NMDA receptor
2C-I NMDA receptor pharmacology assay|2C-I|NMDA receptor
2C-I NMDA receptor functional assay agonist antagonist|2C-I|NMDA receptor
2C-I AMPA receptor binding affinity Ki|2C-I|AMPA receptor
2C-I AMPA receptor pharmacology assay|2C-I|AMPA receptor
2C-I AMPA receptor functional assay agonist antagonist|2C-I|AMPA receptor
2C-I TrkB NTRK2 binding affinity Ki|2C-I|TrkB (NTRK2)
2C-I TrkB NTRK2 receptor pharmacology assay|2C-I|TrkB (NTRK2)
2C-I TrkB NTRK2 functional assay agonist antagonist|2C-I|TrkB (NTRK2)
2C-I CB1 receptor CNR1 binding affinity Ki|2C-I|CB1 receptor (CNR1)
2C-I CB1 receptor CNR1 receptor pharmacology assay|2C-I|CB1 receptor (CNR1)
2C-I CB1 receptor CNR1 functional assay agonist antagonist|2C-I|CB1 receptor (CNR1)
2C-I CB2 receptor CNR2 binding affinity Ki|2C-I|CB2 receptor (CNR2)
2C-I CB2 receptor CNR2 receptor pharmacology assay|2C-I|CB2 receptor (CNR2)
2C-I CB2 receptor CNR2 functional assay agonist antagonist|2C-I|CB2 receptor (CNR2)
2C-T-2 5-HT2A binding affinity Ki|2C-T-2|5-HT2A
2C-T-2 5-HT2A receptor pharmacology assay|2C-T-2|5-HT2A
2C-T-2 5-HT2A functional assay agonist antagonist|2C-T-2|5-HT2A
2C-T-2 5-HT2B binding affinity Ki|2C-T-2|5-HT2B
2C-T-2 5-HT2B receptor pharmacology assay|2C-T-2|5-HT2B
2C-T-2 5-HT2B functional assay agonist antagonist|2C-T-2|5-HT2B
2C-T-2 5-HT2C binding affinity Ki|2C-T-2|5-HT2C
2C-T-2 5-HT2C receptor pharmacology assay|2C-T-2|5-HT2C
2C-T-2 5-HT2C functional assay agonist antagonist|2C-T-2|5-HT2C
2C-T-2 5-HT1A binding affinity Ki|2C-T-2|5-HT1A
2C-T-2 5-HT1A receptor pharmacology assay|2C-T-2|5-HT1A
2C-T-2 5-HT1A functional assay agonist antagonist|2C-T-2|5-HT1A
2C-T-2 5-HT1B binding affinity Ki|2C-T-2|5-HT1B
2C-T-2 5-HT1B receptor pharmacology assay|2C-T-2|5-HT1B
2C-T-2 5-HT1B functional assay agonist antagonist|2C-T-2|5-HT1B
2C-T-2 5-HT1D binding affinity Ki|2C-T-2|5-HT1D
2C-T-2 5-HT1D receptor pharmacology assay|2C-T-2|5-HT1D
2C-T-2 5-HT1D functional assay agonist antagonist|2C-T-2|5-HT1D
2C-T-2 5-HT1E binding affinity Ki|2C-T-2|5-HT1E
2C-T-2 5-HT1E receptor pharmacology assay|2C-T-2|5-HT1E
2C-T-2 5-HT1E functional assay agonist antagonist|2C-T-2|5-HT1E
2C-T-2 5-HT1F binding affinity Ki|2C-T-2|5-HT1F
2C-T-2 5-HT1F receptor pharmacology assay|2C-T-2|5-HT1F
2C-T-2 5-HT1F functional assay agonist antagonist|2C-T-2|5-HT1F
2C-T-2 5-HT5A binding affinity Ki|2C-T-2|5-HT5A
2C-T-2 5-HT5A receptor pharmacology assay|2C-T-2|5-HT5A
2C-T-2 5-HT5A functional assay agonist antagonist|2C-T-2|5-HT5A
2C-T-2 5-HT6 binding affinity Ki|2C-T-2|5-HT6
2C-T-2 5-HT6 receptor pharmacology assay|2C-T-2|5-HT6
2C-T-2 5-HT6 functional assay agonist antagonist|2C-T-2|5-HT6
2C-T-2 5-HT7 binding affinity Ki|2C-T-2|5-HT7
2C-T-2 5-HT7 receptor pharmacology assay|2C-T-2|5-HT7
2C-T-2 5-HT7 functional assay agonist antagonist|2C-T-2|5-HT7
2C-T-2 mGluR2 GRM2 binding affinity Ki|2C-T-2|mGluR2 (GRM2)
2C-T-2 mGluR2 GRM2 receptor pharmacology assay|2C-T-2|mGluR2 (GRM2)
2C-T-2 mGluR2 GRM2 functional assay agonist antagonist|2C-T-2|mGluR2 (GRM2)
2C-T-2 TAAR1 binding affinity Ki|2C-T-2|TAAR1
2C-T-2 TAAR1 receptor pharmacology assay|2C-T-2|TAAR1
2C-T-2 TAAR1 functional assay agonist antagonist|2C-T-2|TAAR1
2C-T-2 SERT SLC6A4 binding affinity Ki|2C-T-2|SERT (SLC6A4)
2C-T-2 SERT SLC6A4 receptor pharmacology assay|2C-T-2|SERT (SLC6A4)
2C-T-2 SERT SLC6A4 functional assay agonist antagonist|2C-T-2|SERT (SLC6A4)
2C-T-2 NET SLC6A2 binding affinity Ki|2C-T-2|NET (SLC6A2)
2C-T-2 NET SLC6A2 receptor pharmacology assay|2C-T-2|NET (SLC6A2)
2C-T-2 NET SLC6A2 functional assay agonist antagonist|2C-T-2|NET (SLC6A2)
2C-T-2 DAT SLC6A3 binding affinity Ki|2C-T-2|DAT (SLC6A3)
2C-T-2 DAT SLC6A3 receptor pharmacology assay|2C-T-2|DAT (SLC6A3)
2C-T-2 DAT SLC6A3 functional assay agonist antagonist|2C-T-2|DAT (SLC6A3)
2C-T-2 VMAT2 SLC18A2 binding affinity Ki|2C-T-2|VMAT2 (SLC18A2)
2C-T-2 VMAT2 SLC18A2 receptor pharmacology assay|2C-T-2|VMAT2 (SLC18A2)
2C-T-2 VMAT2 SLC18A2 functional assay agonist antagonist|2C-T-2|VMAT2 (SLC18A2)
2C-T-2 D1 receptor DRD1 binding affinity Ki|2C-T-2|D1 receptor (DRD1)
2C-T-2 D1 receptor DRD1 receptor pharmacology assay|2C-T-2|D1 receptor (DRD1)
2C-T-2 D1 receptor DRD1 functional assay agonist antagonist|2C-T-2|D1 receptor (DRD1)
2C-T-2 D2 receptor DRD2 binding affinity Ki|2C-T-2|D2 receptor (DRD2)
2C-T-2 D2 receptor DRD2 receptor pharmacology assay|2C-T-2|D2 receptor (DRD2)
2C-T-2 D2 receptor DRD2 functional assay agonist antagonist|2C-T-2|D2 receptor (DRD2)
2C-T-2 D3 receptor DRD3 binding affinity Ki|2C-T-2|D3 receptor (DRD3)
2C-T-2 D3 receptor DRD3 receptor pharmacology assay|2C-T-2|D3 receptor (DRD3)
2C-T-2 D3 receptor DRD3 functional assay agonist antagonist|2C-T-2|D3 receptor (DRD3)
2C-T-2 D4 receptor DRD4 binding affinity Ki|2C-T-2|D4 receptor (DRD4)
2C-T-2 D4 receptor DRD4 receptor pharmacology assay|2C-T-2|D4 receptor (DRD4)
2C-T-2 D4 receptor DRD4 functional assay agonist antagonist|2C-T-2|D4 receptor (DRD4)
2C-T-2 D5 receptor DRD5 binding affinity Ki|2C-T-2|D5 receptor (DRD5)
2C-T-2 D5 receptor DRD5 receptor pharmacology assay|2C-T-2|D5 receptor (DRD5)
2C-T-2 D5 receptor DRD5 functional assay agonist antagonist|2C-T-2|D5 receptor (DRD5)
2C-T-2 Alpha1A adrenergic receptor ADRA1A binding affinity Ki|2C-T-2|Alpha1A adrenergic receptor (ADRA1A)
2C-T-2 Alpha1A adrenergic receptor ADRA1A receptor pharmacology assay|2C-T-2|Alpha1A adrenergic receptor (ADRA1A)
2C-T-2 Alpha1A adrenergic receptor ADRA1A functional assay agonist antagonist|2C-T-2|Alpha1A adrenergic receptor (ADRA1A)
2C-T-2 Alpha1B adrenergic receptor ADRA1B binding affinity Ki|2C-T-2|Alpha1B adrenergic receptor (ADRA1B)
2C-T-2 Alpha1B adrenergic receptor ADRA1B receptor pharmacology assay|2C-T-2|Alpha1B adrenergic receptor (ADRA1B)
2C-T-2 Alpha1B adrenergic receptor ADRA1B functional assay agonist antagonist|2C-T-2|Alpha1B adrenergic receptor (ADRA1B)
2C-T-2 Alpha2A adrenergic receptor ADRA2A binding affinity Ki|2C-T-2|Alpha2A adrenergic receptor (ADRA2A)
2C-T-2 Alpha2A adrenergic receptor ADRA2A receptor pharmacology assay|2C-T-2|Alpha2A adrenergic receptor (ADRA2A)
2C-T-2 Alpha2A adrenergic receptor ADRA2A functional assay agonist antagonist|2C-T-2|Alpha2A adrenergic receptor (ADRA2A)
2C-T-2 Alpha2B adrenergic receptor ADRA2B binding affinity Ki|2C-T-2|Alpha2B adrenergic receptor (ADRA2B)
2C-T-2 Alpha2B adrenergic receptor ADRA2B receptor pharmacology assay|2C-T-2|Alpha2B adrenergic receptor (ADRA2B)
2C-T-2 Alpha2B adrenergic receptor ADRA2B functional assay agonist antagonist|2C-T-2|Alpha2B adrenergic receptor (ADRA2B)
2C-T-2 Alpha2C adrenergic receptor ADRA2C binding affinity Ki|2C-T-2|Alpha2C adrenergic receptor (ADRA2C)
2C-T-2 Alpha2C adrenergic receptor ADRA2C receptor pharmacology assay|2C-T-2|Alpha2C adrenergic receptor (ADRA2C)
2C-T-2 Alpha2C adrenergic receptor ADRA2C functional assay agonist antagonist|2C-T-2|Alpha2C adrenergic receptor (ADRA2C)
2C-T-2 Beta1 adrenergic receptor ADRB1 binding affinity Ki|2C-T-2|Beta1 adrenergic receptor (ADRB1)
2C-T-2 Beta1 adrenergic receptor ADRB1 receptor pharmacology assay|2C-T-2|Beta1 adrenergic receptor (ADRB1)
2C-T-2 Beta1 adrenergic receptor ADRB1 functional assay agonist antagonist|2C-T-2|Beta1 adrenergic receptor (ADRB1)
2C-T-2 Beta2 adrenergic receptor ADRB2 binding affinity Ki|2C-T-2|Beta2 adrenergic receptor (ADRB2)
2C-T-2 Beta2 adrenergic receptor ADRB2 receptor pharmacology assay|2C-T-2|Beta2 adrenergic receptor (ADRB2)
2C-T-2 Beta2 adrenergic receptor ADRB2 functional assay agonist antagonist|2C-T-2|Beta2 adrenergic receptor (ADRB2)
2C-T-2 M1 muscarinic receptor CHRM1 binding affinity Ki|2C-T-2|M1 muscarinic receptor (CHRM1)
2C-T-2 M1 muscarinic receptor CHRM1 receptor pharmacology assay|2C-T-2|M1 muscarinic receptor (CHRM1)
2C-T-2 M1 muscarinic receptor CHRM1 functional assay agonist antagonist|2C-T-2|M1 muscarinic receptor (CHRM1)
2C-T-2 M2 muscarinic receptor CHRM2 binding affinity Ki|2C-T-2|M2 muscarinic receptor (CHRM2)
2C-T-2 M2 muscarinic receptor CHRM2 receptor pharmacology assay|2C-T-2|M2 muscarinic receptor (CHRM2)
2C-T-2 M2 muscarinic receptor CHRM2 functional assay agonist antagonist|2C-T-2|M2 muscarinic receptor (CHRM2)
2C-T-2 M3 muscarinic receptor CHRM3 binding affinity Ki|2C-T-2|M3 muscarinic receptor (CHRM3)
2C-T-2 M3 muscarinic receptor CHRM3 receptor pharmacology assay|2C-T-2|M3 muscarinic receptor (CHRM3)
2C-T-2 M3 muscarinic receptor CHRM3 functional assay agonist antagonist|2C-T-2|M3 muscarinic receptor (CHRM3)
2C-T-2 M4 muscarinic receptor CHRM4 binding affinity Ki|2C-T-2|M4 muscarinic receptor (CHRM4)
2C-T-2 M4 muscarinic receptor CHRM4 receptor pharmacology assay|2C-T-2|M4 muscarinic receptor (CHRM4)
2C-T-2 M4 muscarinic receptor CHRM4 functional assay agonist antagonist|2C-T-2|M4 muscarinic receptor (CHRM4)
2C-T-2 M5 muscarinic receptor CHRM5 binding affinity Ki|2C-T-2|M5 muscarinic receptor (CHRM5)
2C-T-2 M5 muscarinic receptor CHRM5 receptor pharmacology assay|2C-T-2|M5 muscarinic receptor (CHRM5)
2C-T-2 M5 muscarinic receptor CHRM5 functional assay agonist antagonist|2C-T-2|M5 muscarinic receptor (CHRM5)
2C-T-2 H1 receptor HRH1 binding affinity Ki|2C-T-2|H1 receptor (HRH1)
2C-T-2 H1 receptor HRH1 receptor pharmacology assay|2C-T-2|H1 receptor (HRH1)
2C-T-2 H1 receptor HRH1 functional assay agonist antagonist|2C-T-2|H1 receptor (HRH1)
2C-T-2 H2 receptor HRH2 binding affinity Ki|2C-T-2|H2 receptor (HRH2)
2C-T-2 H2 receptor HRH2 receptor pharmacology assay|2C-T-2|H2 receptor (HRH2)
2C-T-2 H2 receptor HRH2 functional assay agonist antagonist|2C-T-2|H2 receptor (HRH2)
2C-T-2 Sigma-1 receptor SIGMAR1 binding affinity Ki|2C-T-2|Sigma-1 receptor (SIGMAR1)
2C-T-2 Sigma-1 receptor SIGMAR1 receptor pharmacology assay|2C-T-2|Sigma-1 receptor (SIGMAR1)
2C-T-2 Sigma-1 receptor SIGMAR1 functional assay agonist antagonist|2C-T-2|Sigma-1 receptor (SIGMAR1)
2C-T-2 Sigma-2 receptor TMEM97 binding affinity Ki|2C-T-2|Sigma-2 receptor (TMEM97)
2C-T-2 Sigma-2 receptor TMEM97 receptor pharmacology assay|2C-T-2|Sigma-2 receptor (TMEM97)
2C-T-2 Sigma-2 receptor TMEM97 functional assay agonist antagonist|2C-T-2|Sigma-2 receptor (TMEM97)
2C-T-2 kappa opioid receptor OPRK1 binding affinity Ki|2C-T-2|kappa opioid receptor (OPRK1)
2C-T-2 kappa opioid receptor OPRK1 receptor pharmacology assay|2C-T-2|kappa opioid receptor (OPRK1)
2C-T-2 kappa opioid receptor OPRK1 functional assay agonist antagonist|2C-T-2|kappa opioid receptor (OPRK1)
2C-T-2 mu opioid receptor OPRM1 binding affinity Ki|2C-T-2|mu opioid receptor (OPRM1)
2C-T-2 mu opioid receptor OPRM1 receptor pharmacology assay|2C-T-2|mu opioid receptor (OPRM1)
2C-T-2 mu opioid receptor OPRM1 functional assay agonist antagonist|2C-T-2|mu opioid receptor (OPRM1)
2C-T-2 delta opioid receptor OPRD1 binding affinity Ki|2C-T-2|delta opioid receptor (OPRD1)
2C-T-2 delta opioid receptor OPRD1 receptor pharmacology assay|2C-T-2|delta opioid receptor (OPRD1)
2C-T-2 delta opioid receptor OPRD1 functional assay agonist antagonist|2C-T-2|delta opioid receptor (OPRD1)
2C-T-2 NMDA receptor binding affinity Ki|2C-T-2|NMDA receptor
2C-T-2 NMDA receptor pharmacology assay|2C-T-2|NMDA receptor
2C-T-2 NMDA receptor functional assay agonist antagonist|2C-T-2|NMDA receptor
2C-T-2 AMPA receptor binding affinity Ki|2C-T-2|AMPA receptor
2C-T-2 AMPA receptor pharmacology assay|2C-T-2|AMPA receptor
2C-T-2 AMPA receptor functional assay agonist antagonist|2C-T-2|AMPA receptor
2C-T-2 TrkB NTRK2 binding affinity Ki|2C-T-2|TrkB (NTRK2)
2C-T-2 TrkB NTRK2 receptor pharmacology assay|2C-T-2|TrkB (NTRK2)
2C-T-2 TrkB NTRK2 functional assay agonist antagonist|2C-T-2|TrkB (NTRK2)
2C-T-2 CB1 receptor CNR1 binding affinity Ki|2C-T-2|CB1 receptor (CNR1)
2C-T-2 CB1 receptor CNR1 receptor pharmacology assay|2C-T-2|CB1 receptor (CNR1)
2C-T-2 CB1 receptor CNR1 functional assay agonist antagonist|2C-T-2|CB1 receptor (CNR1)
2C-T-2 CB2 receptor CNR2 binding affinity Ki|2C-T-2|CB2 receptor (CNR2)
2C-T-2 CB2 receptor CNR2 receptor pharmacology assay|2C-T-2|CB2 receptor (CNR2)
2C-T-2 CB2 receptor CNR2 functional assay agonist antagonist|2C-T-2|CB2 receptor (CNR2)
2C-T-7 5-HT2A binding affinity Ki|2C-T-7|5-HT2A
2C-T-7 5-HT2A receptor pharmacology assay|2C-T-7|5-HT2A
2C-T-7 5-HT2A functional assay agonist antagonist|2C-T-7|5-HT2A
2C-T-7 5-HT2B binding affinity Ki|2C-T-7|5-HT2B
2C-T-7 5-HT2B receptor pharmacology assay|2C-T-7|5-HT2B
2C-T-7 5-HT2B functional assay agonist antagonist|2C-T-7|5-HT2B
2C-T-7 5-HT2C binding affinity Ki|2C-T-7|5-HT2C
2C-T-7 5-HT2C receptor pharmacology assay|2C-T-7|5-HT2C
2C-T-7 5-HT2C functional assay agonist antagonist|2C-T-7|5-HT2C
2C-T-7 5-HT1A binding affinity Ki|2C-T-7|5-HT1A
2C-T-7 5-HT1A receptor pharmacology assay|2C-T-7|5-HT1A
2C-T-7 5-HT1A functional assay agonist antagonist|2C-T-7|5-HT1A
2C-T-7 5-HT1B binding affinity Ki|2C-T-7|5-HT1B
2C-T-7 5-HT1B receptor pharmacology assay|2C-T-7|5-HT1B
2C-T-7 5-HT1B functional assay agonist antagonist|2C-T-7|5-HT1B
2C-T-7 5-HT1D binding affinity Ki|2C-T-7|5-HT1D
2C-T-7 5-HT1D receptor pharmacology assay|2C-T-7|5-HT1D
2C-T-7 5-HT1D functional assay agonist antagonist|2C-T-7|5-HT1D
2C-T-7 5-HT1E binding affinity Ki|2C-T-7|5-HT1E
2C-T-7 5-HT1E receptor pharmacology assay|2C-T-7|5-HT1E
2C-T-7 5-HT1E functional assay agonist antagonist|2C-T-7|5-HT1E
2C-T-7 5-HT1F binding affinity Ki|2C-T-7|5-HT1F
2C-T-7 5-HT1F receptor pharmacology assay|2C-T-7|5-HT1F
2C-T-7 5-HT1F functional assay agonist antagonist|2C-T-7|5-HT1F
2C-T-7 5-HT5A binding affinity Ki|2C-T-7|5-HT5A
2C-T-7 5-HT5A receptor pharmacology assay|2C-T-7|5-HT5A
2C-T-7 5-HT5A functional assay agonist antagonist|2C-T-7|5-HT5A
2C-T-7 5-HT6 binding affinity Ki|2C-T-7|5-HT6
2C-T-7 5-HT6 receptor pharmacology assay|2C-T-7|5-HT6
2C-T-7 5-HT6 functional assay agonist antagonist|2C-T-7|5-HT6
2C-T-7 5-HT7 binding affinity Ki|2C-T-7|5-HT7
2C-T-7 5-HT7 receptor pharmacology assay|2C-T-7|5-HT7
2C-T-7 5-HT7 functional assay agonist antagonist|2C-T-7|5-HT7
2C-T-7 mGluR2 GRM2 binding affinity Ki|2C-T-7|mGluR2 (GRM2)
2C-T-7 mGluR2 GRM2 receptor pharmacology assay|2C-T-7|mGluR2 (GRM2)
2C-T-7 mGluR2 GRM2 functional assay agonist antagonist|2C-T-7|mGluR2 (GRM2)
2C-T-7 TAAR1 binding affinity Ki|2C-T-7|TAAR1
2C-T-7 TAAR1 receptor pharmacology assay|2C-T-7|TAAR1
2C-T-7 TAAR1 functional assay agonist antagonist|2C-T-7|TAAR1
2C-T-7 SERT SLC6A4 binding affinity Ki|2C-T-7|SERT (SLC6A4)
2C-T-7 SERT SLC6A4 receptor pharmacology assay|2C-T-7|SERT (SLC6A4)
2C-T-7 SERT SLC6A4 functional assay agonist antagonist|2C-T-7|SERT (SLC6A4)
2C-T-7 NET SLC6A2 binding affinity Ki|2C-T-7|NET (SLC6A2)
2C-T-7 NET SLC6A2 receptor pharmacology assay|2C-T-7|NET (SLC6A2)
2C-T-7 NET SLC6A2 functional assay agonist antagonist|2C-T-7|NET (SLC6A2)
2C-T-7 DAT SLC6A3 binding affinity Ki|2C-T-7|DAT (SLC6A3)
2C-T-7 DAT SLC6A3 receptor pharmacology assay|2C-T-7|DAT (SLC6A3)
2C-T-7 DAT SLC6A3 functional assay agonist antagonist|2C-T-7|DAT (SLC6A3)
2C-T-7 VMAT2 SLC18A2 binding affinity Ki|2C-T-7|VMAT2 (SLC18A2)
2C-T-7 VMAT2 SLC18A2 receptor pharmacology assay|2C-T-7|VMAT2 (SLC18A2)
2C-T-7 VMAT2 SLC18A2 functional assay agonist antagonist|2C-T-7|VMAT2 (SLC18A2)
2C-T-7 D1 receptor DRD1 binding affinity Ki|2C-T-7|D1 receptor (DRD1)
2C-T-7 D1 receptor DRD1 receptor pharmacology assay|2C-T-7|D1 receptor (DRD1)
2C-T-7 D1 receptor DRD1 functional assay agonist antagonist|2C-T-7|D1 receptor (DRD1)
2C-T-7 D2 receptor DRD2 binding affinity Ki|2C-T-7|D2 receptor (DRD2)
2C-T-7 D2 receptor DRD2 receptor pharmacology assay|2C-T-7|D2 receptor (DRD2)
2C-T-7 D2 receptor DRD2 functional assay agonist antagonist|2C-T-7|D2 receptor (DRD2)
2C-T-7 D3 receptor DRD3 binding affinity Ki|2C-T-7|D3 receptor (DRD3)
2C-T-7 D3 receptor DRD3 receptor pharmacology assay|2C-T-7|D3 receptor (DRD3)
2C-T-7 D3 receptor DRD3 functional assay agonist antagonist|2C-T-7|D3 receptor (DRD3)
2C-T-7 D4 receptor DRD4 binding affinity Ki|2C-T-7|D4 receptor (DRD4)
2C-T-7 D4 receptor DRD4 receptor pharmacology assay|2C-T-7|D4 receptor (DRD4)
2C-T-7 D4 receptor DRD4 functional assay agonist antagonist|2C-T-7|D4 receptor (DRD4)
2C-T-7 D5 receptor DRD5 binding affinity Ki|2C-T-7|D5 receptor (DRD5)
2C-T-7 D5 receptor DRD5 receptor pharmacology assay|2C-T-7|D5 receptor (DRD5)
