# query|compound|entity
LSD SERT SLC6A4 binding affinity Ki|LSD|SERT (SLC6A4)
LSD SERT SLC6A4 receptor pharmacology assay|LSD|SERT (SLC6A4)
LSD SERT SLC6A4 functional assay agonist antagonist|LSD|SERT (SLC6A4)
LSD NET SLC6A2 binding affinity Ki|LSD|NET (SLC6A2)
LSD NET SLC6A2 receptor pharmacology assay|LSD|NET (SLC6A2)
LSD NET SLC6A2 functional assay agonist antagonist|LSD|NET (SLC6A2)
LSD DAT SLC6A3 binding affinity Ki|LSD|DAT (SLC6A3)
LSD DAT SLC6A3 receptor pharmacology assay|LSD|DAT (SLC6A3)
LSD DAT SLC6A3 functional assay agonist antagonist|LSD|DAT (SLC6A3)
LSD VMAT2 SLC18A2 binding affinity Ki|LSD|VMAT2 (SLC18A2)
LSD VMAT2 SLC18A2 receptor pharmacology assay|LSD|VMAT2 (SLC18A2)
LSD VMAT2 SLC18A2 functional assay agonist antagonist|LSD|VMAT2 (SLC18A2)
LSD D1 receptor DRD1 binding affinity Ki|LSD|D1 receptor (DRD1)
LSD D1 receptor DRD1 receptor pharmacology assay|LSD|D1 receptor (DRD1)
LSD D1 receptor DRD1 functional assay agonist antagonist|LSD|D1 receptor (DRD1)
LSD D2 receptor DRD2 binding affinity Ki|LSD|D2 receptor (DRD2)
LSD D2 receptor DRD2 receptor pharmacology assay|LSD|D2 receptor (DRD2)
LSD D2 receptor DRD2 functional assay agonist antagonist|LSD|D2 receptor (DRD2)
LSD D3 receptor DRD3 binding affinity Ki|LSD|D3 receptor (DRD3)
LSD D3 receptor DRD3 receptor pharmacology assay|LSD|D3 receptor (DRD3)
LSD D3 receptor DRD3 functional assay agonist antagonist|LSD|D3 receptor (DRD3)
LSD D4 receptor DRD4 binding affinity Ki|LSD|D4 receptor (DRD4)
LSD D4 receptor DRD4 receptor pharmacology assay|LSD|D4 receptor (DRD4)
LSD D4 receptor DRD4 functional assay agonist antagonist|LSD|D4 receptor (DRD4)
LSD D5 receptor DRD5 binding affinity Ki|LSD|D5 receptor (DRD5)
LSD D5 receptor DRD5 receptor pharmacology assay|LSD|D5 receptor (DRD5)
LSD D5 receptor DRD5 functional assay agonist antagonist|LSD|D5 receptor (DRD5)
LSD Alpha1A adrenergic receptor ADRA1A binding affinity Ki|LSD|Alpha1A adrenergic receptor (ADRA1A)
LSD Alpha1A adrenergic receptor ADRA1A receptor pharmacology assay|LSD|Alpha1A adrenergic receptor (ADRA1A)
LSD Alpha1A adrenergic receptor ADRA1A functional assay agonist antagonist|LSD|Alpha1A adrenergic receptor (ADRA1A)
