line_no,doi,compound,entity,title,year,authors,existing_sources
714,10.1111/bph.13854,,,Selective κ receptor partial agonist HS666 produces potent antinociception without inducing aversion after i.c.v. administration in mice,2017,Mariana Spetea; Shainnel O. Eans; Michelle L. Ganno; Aquilino Lantero; Michael Mairegger; Lawrence Toll; Helmut Schmidhammer; Jay P. McLaughlin,candidate_paper_corpus | mechanistic:paper_library
715,10.1021/acs.jnatprod.7b00327,,,"Semisynthesis and Kappa-Opioid Receptor Activity of Derivatives of Columbin, a Furanolactone Diterpene",2017,Anıl Yılmaz; Rachel Saylor Crowley; Alexander M. Sherwood; Thomas E. Prisinzano,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
716,10.1093/cercor/bhx257,,,Serotonin 2A Receptor Signaling Underlies LSD-induced Alteration of the Neural Response to Dynamic Changes in Music,2017,Frederick S. Barrett; Katrin H. Preller; Marcus Herdener; Petr Janata; Franz X. Vollenweider,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
717,10.1177/0269881117725915,,,Serotonin and brain function: a tale of two receptors,2017,RL Carhart-Harris; DJ Nutt,candidate_paper_corpus | mechanistic:paper_library
718,10.1016/j.neubiorev.2017.03.007,,,"Serotonin and neuroplasticity – Links between molecular, functional and structural pathophysiology in depression",2017,Christoph Kraus; Eero Ċastrén; Siegfried Kasper; Rupert Lanzenberger,candidate_paper_corpus | disorder:paper_library
719,10.1038/s41598-017-12779-5,,,Short term changes in the proteome of human cerebral organoids induced by 5-MeO-DMT,2017,Vanja Dakic; Juliana Nascimento; Rafaela Sartore; Renata de Moraes Maciel; Dráulio Barros de Araújo; Sidarta Ribeiro; Daniel Martins‐de‐Souza; Stevens K. Rehen,candidate_paper_corpus | mechanistic:paper_library
720,10.1016/j.brainres.2017.02.027,,,Synergistic blockade of alcohol escalation drinking in mice by a combination of novel kappa opioid receptor agonist Mesyl Salvinorin B and naltrexone,2017,Yan Zhou; Rachel Saylor Crowley; Konrad T. Ben; Thomas E. Prisinzano; Mary Jeanne Kreek,candidate_paper_corpus | mechanistic:paper_library
721,10.1021/acs.orglett.7b02177,,,Synthesis and <i>N</i>-Methyl-<scp>d</scp>-aspartate (NMDA) Receptor Activity of Ketamine Metabolites,2017,Patrick J. Morris; Ruin Moaddel; Panos Zanos; Curtis E. Moore; Todd D. Gould; Carlos A. Zarate; Craig J. Thomas,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
724,10.1111/bph.13809,,,Targeting multiple opioid receptors – improved analgesics with reduced side effects?,2017,Thomas Günther; Pooja Dasgupta; Anika Mann; Elke Miess; Andrea Kliewer; Sebastian Fritzwanker; Ralph Steinborn; Stefan Schulz,candidate_paper_corpus | mechanistic:paper_library
725,10.1007/s00213-017-4637-2,,,"The C-2 derivatives of salvinorin A, ethoxymethyl ether Sal B and β-tetrahydropyran Sal B, have anti-cocaine properties with minimal side effects",2017,Amy Ewald; Peter Bösch; Aimee Culverhouse; Rachel Saylor Crowley; Benjamin Neuenswander; Thomas E. Prisinzano; Bronwyn M. Kivell,candidate_paper_corpus | mechanistic:paper_library
726,10.1155/2017/9724371,,,The Link between Depression and Chronic Pain: Neural Mechanisms in the Brain,2017,Jiyao Sheng; Liu Shui; Yicun Wang; Ranji Cui; Xuewen Zhang,candidate_paper_corpus | disorder:paper_library
727,10.1155/2017/6871089,,,The Role of Neural Plasticity in Depression: From Hippocampus to Prefrontal Cortex,2017,Wei Liu; Tongtong Ge; Yashu Leng; Zhenxiang Pan; Jie Fan; Wei Yang; Ranji Cui,candidate_paper_corpus | disorder:paper_library
728,10.2174/1570159x15666170529104323,,,"The Role of Sigma-1 Receptor, an Intracellular Chaperone in Neurodegenerative Diseases",2017,Botond Penke; Lívia Fülöp; Mária Szűcs; Ede Frecska,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
