# retry queue generated from paper library rows
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1038/sj.bjp.0703227,Ibogaine,kappa opioid receptor (OPRK1),Pharmacological comparison of the effect of ibogaine and 18‐methoxycoronaridine on isolated smooth muscle from the rat and guinea‐pig,2000,M K Mundey; N A Blaylock; R Mason; S D Glick; I M Maisonneuve; V G Wilson
10.1038/sj.bjp.0703458,LSD,5-HT2A,"Characterization of [<sup>125</sup>I]‐SB‐258585 binding to human recombinant and native 5‐HT<sub>6</sub> receptors in rat, pig and human brain tissue",2000,Warren D Hirst; Jayne A L Minton; Steven M Bromidge; Stephen F Moss; Alison J Latter; Graham Riley; Carol Routledge; Derek N Middlemiss; Gary W Price
10.1038/sj.bjp.0704255,LSD,5-HT2C,RNA‐editing of the 5‐HT<sub>2C</sub> receptor alters agonist‐receptor‐effector coupling specificity,2001,Kelly A Berg; Jodie D Cropper; Colleen M Niswender; Elaine Sanders‐Bush; Ronald B Emeson; William P Clarke
10.1038/sj.npp.1300005,Psilocybin,5-HT2A,Effects of the 5-HT2A Agonist Psilocybin on Mismatch Negativity Generation and AX-Continuous Performance Task: Implications for the Neuropharmacology of Cognitive Deficits in Schizophrenia,2003,Daniel Umbricht; Franz X Vollenweider; Liselotte Schmid; Claudia Grübel; Anja Skrabo; Theo Huber; Rene Koller
10.1038/sj.npp.1300022,LSD,5-HT2A,"Imaging Brain Phospholipase A2 Activation in Awake Rats in Response to the 5-HT2A/2C Agonist (±)2,5-Dimethoxy-4-Iodophenyl-2-Aminopropane (DOI)",2002,Ying Qu; Lisa Chang; Justin Klaff; Andrea Balbo; Stanley I Rapoport
10.1038/sj.npp.1300252,Ketamine,NMDA receptor,Altered NMDA Glutamate Receptor Antagonist Response in Recovering Ethanol-Dependent Patients,2003,John H Krystal; Ismene L Petrakis; Diana Limoncelli; Elizabeth Webb; Ralitza Gueorgueva; D Cyril D'Souza; Nashaat N Boutros; Louis Trevisan; Dennis S Charney
10.1038/sj.npp.1300347,MDMA,SERT (SLC6A4),Chronic Fluoxetine Treatment Partly Attenuates the Long-Term Anxiety and Depressive Symptoms Induced by MDMA (‘Ecstasy’) in Rats,2003,Murray R Thompson; Kong M Li; Kelly J Clemens; Clint G Gurtman; Glenn E Hunt; Jennifer L Cornish; Iain S McGregor
10.1038/sj.npp.1300396,LSD,5-HT2A,"Prepulse Inhibition and Habituation of Acoustic Startle Response in Male MDMA (‘Ecstasy’) Users, Cannabis Users, and Healthy Controls",2004,Boris B Quednow; Kai-Uwe Kühn; Klaus Hoenig; Wolfgang Maier; Michael Wagner
10.1038/sj.npp.1300485,,AMPA receptor,Glutamate Receptor Subunits are Altered in Forebrain and Cerebellum in Rats Chronically Exposed to the NMDA Receptor Antagonist Phencyclidine,2004,Josette S Lindahl; Joyce Keifer
10.1038/sj.npp.1300505,LSD,5-HT2A,Decreased Serotonin 5-HT2A Receptor-Stimulated Phosphoinositide Signaling in Fibroblasts from Melancholic Depressed Patients,2004,Demet Akin; D Hal Manier; Elaine Sanders-Bush; Richard C Shelton
10.1038/sj.npp.1300578,LSD,5-HT2A,Association of Serotonin 5-HT2A Receptor Binding and the T102C Polymorphism in Depressed and Healthy Caucasian Subjects,2004,Vadim D Khait; Yung-yu Huang; Gil Zalsman; Maria A Oquendo; David A Brent; Jill M Harkavy-Friedman; J John Mann
10.1038/sj.npp.1300585,MDMA,DAT (SLC6A3),"N-Substituted Piperazines Abused by Humans Mimic the Molecular Mechanism of 3,4-Methylenedioxymethamphetamine (MDMA, or ‘Ecstasy’)",2004,Michael H Baumann; Robert D Clark; Allison G Budzynski; John S Partilla; Bruce E Blough; Richard B Rothman
10.1038/sj.npp.1300621,Psilocybin,5-HT2A,Modulating the Rate and Rhythmicity of Perceptual Rivalry Alternations with the Mixed 5-HT2A and 5-HT1A Agonist Psilocybin,2005,Olivia L Carter; John D Pettigrew; Felix Hasler; Guy M Wallis; Guang B Liu; Daniel Hell; Franz X Vollenweider
10.1038/sj.npp.1300662,,5-HT1B,"3,4-N-Methlenedioxymethamphetamine-Induced Hypophagia is Maintained in 5-HT1B Receptor Knockout Mice, but Suppressed by the 5-HT2C Receptor Antagonist RS102221",2005,Grégory Conductier; Cyril Crosson; René Hen; Joël Bockaert; Valérie Compan
10.1038/sj.npp.1300711,Mescaline,5-HT2A,Behavioral Tolerance to Lysergic Acid Diethylamide is Associated with Reduced Serotonin-2A Receptor Signaling in Rat Cortex,2005,Paul J Gresch; Randy L Smith; Robert J Barrett; Elaine Sanders-Bush
10.1038/sj.npp.1300736,MDMA,SERT (SLC6A4),Quantitative PET Studies of the Serotonin Transporter in MDMA Users and Controls Using [11C]McN5652 and [11C]DASB,2005,Una D McCann; Zsolt Szabo; Esen Seckin; Peter Rosenblatt; William B Mathews; Hayden T Ravert; Robert F Dannals; George A Ricaurte
10.1038/sj.npp.1300819,2C-B,5-HT2A,Evidence for the Preferential Involvement of 5-HT2A Serotonin Receptors in Stress- and Drug-Induced Dopamine Release in the Rat Medial Prefrontal Cortex,2005,Elizabeth A Pehek; Christine Nocjar; Bryan L Roth; Tara A Byrd; Omar S Mabrouk
10.1038/sj.npp.1301031,MDMA,SERT (SLC6A4),Loss of Serotonin Transporter Protein after MDMA and Other Ring-Substituted Amphetamines,2006,Tao Xie; Liqiong Tong; Michael W McLane; George Hatzidimitriou; Jie Yuan; Una McCann; George Ricaurte
10.1038/sj.npp.1301133,Ketamine,NMDA receptor,"The Selective mGlu5 Receptor Antagonist MTEP, Similar to NMDA Receptor Antagonists, Induces Social Isolation in Rats",2006,Eliza Koros; Holger Rosenbrock; Gerald Birk; Carmen Weiss; Frank Sams-Dodd
10.1038/sj.npp.1301324,Psilocybin,5-HT2A,The Effects of the Preferential 5-HT2A Agonist Psilocybin on Prepulse Inhibition of Startle in Healthy Human Volunteers Depend on Interstimulus Interval,2007,Franz X Vollenweider; Philipp A Csomor; Bernhard Knappe; Mark A Geyer; Boris B Quednow
10.1038/sj.npp.1301406,LSD,5-HT2A,Molecular Genetics of the Platelet Serotonin System in First-Degree Relatives of Patients with Autism,2007,Sarah Cross; Soo-Jeong Kim; Lauren A Weiss; Ryan J Delahanty; James S Sutcliffe; Bennett L Leventhal; Edwin H Cook; Jeremy Veenstra-VanderWeele
10.1038/sj.npp.1301420,MDMA,SERT,Effects of Cocaine and MDMA Self-Administration on Serotonin Transporter Availability in Monkeys,2007,Matthew L Banks; Paul W Czoty; H Donald Gage; Michael C Bounds; Pradeep K Garg; Sudha Garg; Michael A Nader
10.1038/sj.npp.1301512,MDMA,NET (SLC6A2),MDMA Induces EPSP–Spike Potentiation in Rat Ventral Hippocampus In Vitro Via Serotonin and Noradrenaline Release and Coactivation of 5-HT4 and β1 Receptors,2007,Boris Mlinar; Simona Mascalchi; Raffaella Morini; Filippo Giachi; Renato Corradetti
10.1038/sj.npp.1301600,LSD,5-HT2A,Chronic Phenethylamine Hallucinogen Treatment Alters Behavioral Sensitivity to a Metabotropic Glutamate 2/3 Receptor Agonist,2007,Michael A Benneyworth; Randy L Smith; Elaine Sanders-Bush
10.1038/sj.npp.1301659,Salvinorin A,kappa opioid receptor (OPRK1),Exposure to the Selective κ-Opioid Receptor Agonist Salvinorin A Modulates the Behavioral and Molecular Effects of Cocaine in Rats,2008,Elena H Chartoff; David Potter; Diane Damez-Werno; Bruce M Cohen; William A Carlezon
10.1038/tp.2014.39,Ketamine,NMDA receptor,NMDA receptor antagonists ketamine and Ro25-6981 inhibit evoked release of glutamate in vivo in the subiculum.,2014,Stan TL; Alvarsson A; Branzell N; Sousa VC; Svenningsson P
10.1039/b905148a,Salvinorin A,kappa opioid receptor (OPRK1),Synthetic studies of neoclerodane diterpenes from Salvia divinorum: role of the furan in affinity for opioid receptors,2009,Denise S. Simpson; Kimberly M. Lovell; Anthony Lozama; Nina Han; Victor W. Day; Christina M. Dersch; Richard B. Rothman; Thomas E. Prisinzano
10.1039/c8md00545a,Ibogaine,NMDA receptor,Synthesis and receptor binding of thiophene bioisosteres of potent GluN2B ligands with a benzo[7]annulene-scaffold,2019,Sören Baumeister; Dirk Schepmann; Bernhard Wünsch
10.1042/BJ20141321,DMT,Sigma-1 receptor (SIGMAR1),The sigma-1 receptors are present in monomeric and oligomeric forms in living cells in the presence and absence of ligands,2014,Ashish K. Mishra; Timur Mavlyutov; Deo R. Singh; Gabriel Biener; Jay Yang; Julie A. Oliver; Arnold Ruoho; Valerică Raicu
