# retry queue generated from paper library rows
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1016/j.neuropharm.2014.10.013,DMT,5-HT2A,"Potentiation of 5-methoxy-N,N-dimethyltryptamine-induced hyperthermia by harmaline and the involvement of activation of 5-HT1A and 5-HT2A receptors",2014,Xi-Ling Jiang; Hong-Wu Shen; Ai-Ming Yu
10.1016/j.neuropharm.2018.06.008,,AMPA receptor,Some distorted thoughts about ketamine as a psychedelic and a novel hypothesis based on NMDA receptor-mediated synaptic plasticity,2018,Rachael Ingram; Heather Kang; Stafford Lightman; David E. Jane; Zuner A. Bortolotto; Graham L. Collingridge; David Lodge; Arturas Volianskis
10.1016/j.ntt.2011.09.005,MDMA,NET (SLC6A2),Prenatal exposure to MDMA alters noradrenergic neurodevelopment in the rat,2011,V.B. Thompson; J.B. Koprich; E.Y. Chen; J.H. Kordower; B.T. Terpstra; J.W. Lipton
10.1016/j.pbb.2009.09.002,Salvinorin A,kappa opioid receptor (OPRK1),"Effect of kappa-opioid receptor agonists U69593, U50488H, spiradoline and salvinorin A on cocaine-induced drug-seeking in rats",2009,Aashish S. Morani; Bronwyn Kivell; Thomas E. Prisinzano; Susan Schenk
10.1016/j.pbb.2013.05.005,Ketamine,NMDA receptor,Comparison of behavioral effects of the NMDA receptor channel blockers memantine and ketamine in rats,2013,Shawn E. Kotermanski; Jon W. Johnson; Edda Thiels
10.1016/j.pbb.2021.173154,S-ketamine,NMDA receptor,N-Substituted-3-alkoxy-derivatives of dextromethorphan are functional NMDA receptor antagonists in vivo: Evidence from an NMDA-induced seizure model in rats,2021,Jeffrey M. Witkin; Rok Cerne; Amy H. Newman; Sari Izenwasser; Jodi L. Smith; Frank C. Tortella
10.1016/j.tips.2025.08.012,Psilocybin,5-HT2A,Emerging mechanisms of psilocybin-induced neuroplasticity,2025,Sonia Sonda; Diana Pendin; Stefano Comai; Sara De Martin; Paolo Manfredi; Andrea Mattarei
10.1016/s0893-133x(96)00249-7,LSD,5-HT2A,Serotonin 5-HT2A Receptor Binding in Platelets from Healthy Subjects as Studied by [3H]-Lysergic Acid Diethylamide ([3H]-LSD): Intra- and Interindividual Variability,1997,O Spigset
10.1016/s0893-133x(98)00067-0,Ketamine,NMDA receptor,Ketamine-Induced NMDA Receptor Hypofunction as a Model of Memory Impairment and Psychosis,1999,J Newcomer
10.1016/s0896-6273(00)80712-6,,5-HT5A,Increased Exploratory Activity and Altered Response to LSD in Mice Lacking the 5-HT5A Receptor,1999,Régis Grailhe; Christian Waeber; Stephanie C Dulawa; Jean P Hornung; Xiaoxi Zhuang; Dani Brunner; Mark A Geyer; René Hen
10.1017/S1461145708009437,MDMA,DAT (SLC6A3),S100B overexpressing mutant mice exhibit prolonged behavioural and biochemical responses towards repeated intermittent binge treatments with MDMA,2008,Anna M. S. Kindlundh-Högberg; Xiaoqun Zhang; Per Svenningsson
10.1017/S1461145713000606,Psilocin,5-HT2A,Preclinical models of antipsychotic drug action,2013,José L. Moreno; Javier González-Maeso
10.1017/S1461145714000261,5-MeO-DMT,5-HT1A,"The natural hallucinogen 5-MeO-DMT, component of Ayahuasca, disrupts cortical function in rats: reversal by antipsychotic drugs",2014,Maurizio S. Riga; Guadalupe Soria; Raúl Tudela; Francesc Artigas; Pau Celada
10.1017/S1461145714000455,DOI,5-HT2A,Long-lasting alterations in 5-HT2A receptor after a binge regimen of methamphetamine in mice,2014,Hong-Yi Chiu; Ming-Huan Chan; Mei-Yi Lee; Shao-Tsu Chen; Zih-Yi Zhan; Hwei-Hsien Chen
10.1017/s146114570500581x,,5-HT1B,Acute and long-term effects of a single dose of MDMA on aggression in Dark Agouti rats,2005,Eszter Kirilly; Anita Benko; Linda Ferrington; Romeo D. Ando; Paul A. T. Kelly; Gyorgy Bagdy
10.1017/s146114570800847x,LSD,5-HT2C,The role of 5-HT2A and 5-HT2C receptors in the signal attenuation rat model of obsessive–compulsive disorder,2008,Shlomit Flaisher-Grinberg; Oded Klavir; Daphna Joel
10.1017/s1461145713000722,Psilocin,5-HT2A,Serotonergic hallucinogens as translational models relevant to schizophrenia,2013,Adam L. Halberstadt; Mark A. Geyer
10.1021/acs.accounts.0c00791,Salvinorin A,kappa opioid receptor (OPRK1),Natural Product Synthesis through the Lens of Informatics,2021,Stone Woo; Ryan A. Shenvi
10.1021/acs.biochem.0c00629,Salvinorin A,kappa opioid receptor (OPRK1),"Natural Products for the Treatment of Pain: Chemistry and Pharmacology of Salvinorin A, Mitragynine, and Collybolide",2020,Soumen Chakraborty; Susruta Majumdar
10.1021/acs.jmedchem.4c00590,Salvinorin A,kappa opioid receptor (OPRK1),"Discovery of Novel, Selective, and Nonbasic Agonists for the Kappa-Opioid Receptor Determined by Salvinorin A-Based Virtual Screening",2024,Kristina Puls; Aina-Leonor Olivé-Marti; Siriwat Hongnak; David Lamp; Mariana Spetea; Gerhard Wolber
10.1021/acs.jnatprod.7b00327,Salvinorin A,kappa opioid receptor (OPRK1),"Semisynthesis and Kappa-Opioid Receptor Activity of Derivatives of Columbin, a Furanolactone Diterpene",2017,Anil Yilmaz; Rachel Saylor Crowley; Alexander M. Sherwood; Thomas E. Prisinzano
10.1021/acschemneuro.0c00191,Salvinorin A,kappa opioid receptor (OPRK1),"Synthetic Studies of Neoclerodane Diterpenes from <i>Salvia divinorum</i>: Design, Synthesis, and Evaluation of Analogues with Improved Potency and G-protein Activation Bias at the μ-Opioid Receptor",2020,Rachel S. Crowley; Andrew P. Riley; Amy F. Alder; Richard J. Anderson; Dan Luo; Sophia Kaska; Pamela Maynez; Bronwyn M. Kivell; Thomas E. Prisinzano
10.1021/acschemneuro.2c00170,LSD,5-HT2A,Tolerance and Cross-Tolerance among Psychedelic and Nonpsychedelic 5-HT<sub>2A</sub> Receptor Agonists in Mice,2022,Mario de la Fuente Revenga; Alaina M. Jaster; John McGinn; Gabriella Silva; Somdatta Saha; Javier González-Maeso
10.1021/acschemneuro.9b00528,LSD,5-HT2A,DARK Classics in Chemical Neuroscience: NBOMes,2019,Christian B. M. Poulie; Anders A. Jensen; Adam L. Halberstadt; Jesper L. Kristensen
10.1021/acsptsci.0c00102,Noribogaine,,Tropane-Based Ibogaine Analog Rescues Folding-Deficient Serotonin and Dopamine Transporters,2020,Shreyas Bhat; Daryl A. Guthrie; Ameya Kasture; Ali El-Kasaby; Jianjing Cao; Alessandro Bonifazi; Therese Ku; JoLynn B. Giancola; Thomas Hummel; Michael Freissmuth
10.1021/jm201437t,DMT,TAAR1,Avenues for the Development of Therapeutics That Target Trace Amine Associated Receptor 1 (TAAR1),2012,Gregory M. Miller
10.1037/a0016716,MDMA,SERT (SLC6A4),MDMA pretreatment leads to mild chronic unpredictable stress-induced impairments in spatial learning.,2009,Jacobi I. Cunningham; Jamie Raudensky; John Tonkiss; Bryan K. Yamamoto
10.1037/a0038550,,5-HT7,A brief history of the development of antidepressant drugs: From monoamines to glutamate.,2015,Todd M. Hillhouse; Joseph H. Porter
10.1037/pha0000253,LSD,5-HT2A,Effects of acute and repeated treatment with serotonin 5-HT2A receptor agonist hallucinogens on intracranial self-stimulation in rats.,2019,Farhana Sakloth; Elizabeth Leggett; Megan J. Moerke; E. Andrew Townsend; Matthew L. Banks; S. Stevens Negus
10.1038/nature17998,Ketamine,NMDA receptor,NMDAR inhibition-independent antidepressant actions of ketamine metabolites,2016,Panos Zanos; Ruin Moaddel; Patrick J. Morris; Polymnia Georgiou; Jonathan Fischell; Greg I. Elmer; Manickavasagom Alkondon; Peixiong Yuan; Heather J. Pribut; Nagendra S. Singh
10.1038/npp.2012.246,Ketamine,NMDA receptor,"GLYX-13, a NMDA Receptor Glycine-Site Functional Partial Agonist, Induces Antidepressant-Like Effects Without Ketamine-Like Side Effects",2012,Jeffrey Burgdorf; Xiao-lei Zhang; Katherine L Nicholson; Robert L Balster; J David Leander; Patric K Stanton; Amanda L Gross; Roger A Kroes; Joseph R Moskal
10.1038/npp.2015.159,Salvinorin A,kappa opioid receptor (OPRK1),"Immediate and Persistent Effects of Salvinorin A on the Kappa Opioid Receptor in Rodents, Monitored In Vivo with PET",2015,Michael S Placzek; Genevieve C Van de Bittner; Hsiao-Ying Wey; Scott E Lukas; Jacob M Hooker
10.1038/s41380-018-0083-8,Ketamine,NMDA receptor,"NMDAR-independent, cAMP-dependent antidepressant actions of ketamine",2018,Nathan H. Wray; Jeffrey M. Schappi; Harinder Singh; Nicolas B. Senese; Mark M. Rasenick
10.1038/sj.bjp.0701851,,5-HT6,Characterization of Ro 04‐6790 and Ro 63‐0563: potent and selective antagonists at human and rat 5‐HT<sub>6</sub> receptors,1998,Andrew J Sleight; Frank G Boess; Michael Bös; Bernard Levet‐Trafit; Claus Riemer; Anne Bourson
10.1038/sj.bjp.0702344,DOI,5-HT2A,Electrophysiological examination of the effects of sustained flibanserin administration on serotonin receptors in rat brain,1999,Lynne E Rueter; Pierre Blier
10.1038/sj.bjp.0702822,DOI,5-HT2A,Evidence for a role for central 5‐HT<sub>2B</sub> as well as 5‐HT<sub>2A</sub> receptors in cardiovascular regulation in anaesthetized rats,1999,Ian D Knowles; Andrew G Ramage
10.1038/sj.bjp.0704255,LSD,5-HT2C,RNA‐editing of the 5‐HT<sub>2C</sub> receptor alters agonist‐receptor‐effector coupling specificity,2001,Kelly A Berg; Jodie D Cropper; Colleen M Niswender; Elaine Sanders‐Bush; Ronald B Emeson; William P Clarke
10.1038/sj.bjp.0704451,,AMPA receptor,"Effects of phencyclidine (PCP) and MK 801 on the EEGq in the prefrontal cortex of conscious rats; antagonism by clozapine, and antagonists of AMPA‐, α<sub>1</sub>‐ and 5‐HT<sub>2A</sub>‐receptors",2002,Claude Sebban; Brigitte Tesolin‐Decros; Jorge Ciprian‐Ollivier; Laurent Perret; Michael Spedding
10.1038/sj.npp.1300005,Psilocybin,5-HT2A,Effects of the 5-HT2A Agonist Psilocybin on Mismatch Negativity Generation and AX-Continuous Performance Task: Implications for the Neuropharmacology of Cognitive Deficits in Schizophrenia,2003,Daniel Umbricht; Franz X Vollenweider; Liselotte Schmid; Claudia Grübel; Anja Skrabo; Theo Huber; Rene Koller
10.1038/sj.npp.1300022,LSD,5-HT2A,"Imaging Brain Phospholipase A2 Activation in Awake Rats in Response to the 5-HT2A/2C Agonist (±)2,5-Dimethoxy-4-Iodophenyl-2-Aminopropane (DOI)",2002,Ying Qu; Lisa Chang; Justin Klaff; Andrea Balbo; Stanley I Rapoport
10.1038/sj.npp.1300621,Psilocybin,5-HT2A,Modulating the Rate and Rhythmicity of Perceptual Rivalry Alternations with the Mixed 5-HT2A and 5-HT1A Agonist Psilocybin,2005,Olivia L Carter; John D Pettigrew; Felix Hasler; Guy M Wallis; Guang B Liu; Daniel Hell; Franz X Vollenweider
10.1038/sj.npp.1300711,Mescaline,5-HT2A,Behavioral Tolerance to Lysergic Acid Diethylamide is Associated with Reduced Serotonin-2A Receptor Signaling in Rat Cortex,2005,Paul J Gresch; Randy L Smith; Robert J Barrett; Elaine Sanders-Bush
