pilot_record_id,dataset,bucket,study_doi,input_tier,access_level,expected_screening_relevance,route_hint,route_hint_confidence,route_hint_basis,study_title,study_year,authors,study_journal,publication_type,screening_record_count,source_type,source_path
pilot-04f493ffa1f6ea2d,mechanistic,full_text_relevant,10.1007/s00213-006-0576-z,full_text,full_text_seen,relevant,likely_primary,low,abstract_primary,"The effects of fluoxetine on the subjective and physiological effects of 3,4-methylenedioxymethamphetamine (MDMA) in humans",2006,Manuel Tancer; Chris-Ellyn Johanson,Psychopharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-05161f6206cf0c97,mechanistic,full_text_relevant,10.1007/s00228-017-2392-2,full_text,full_text_seen,relevant,likely_primary,low,abstract_primary,No major role of norepinephrine transporter gene variations in the cardiostimulant effects of MDMA,2017,Patrick Vizeli; Henriette E. Meyer zu Schwabedissen; Matthias E. Liechti,European Journal of Clinical Pharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-04dea2d9591d27e5,mechanistic,full_text_relevant,10.1016/j.bpj.2022.01.024,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,The substrate import mechanism of the human serotonin transporter,2022,Matthew C. Chan; Balaji Selvam; Heather J. Young; Erik Procko; Diwakar Shukla,Biophysical Journal,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-03b8e8c35682d2db,mechanistic,full_text_relevant,10.1016/j.neures.2022.12.015,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Prefrontal contributions to mental resilience: Lessons from rodent studies of stress and antidepressant actions,2022,Ryota Shinohara; Tomoyuki Furuyashiki,Neuroscience Research,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-024391aa441f13b4,mechanistic,full_text_relevant,10.1038/tp.2016.51,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Reversal of evoked gamma oscillation deficits is predictive of antipsychotic activity with a unique profile for clozapine,2016,M R Hudson; G Rind; T J O'Brien; N C Jones,Translational Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-0334181359ad548d,mechanistic,full_text_relevant,10.1038/tp.2016.71,full_text,full_text_seen,relevant,likely_secondary,medium,title_secondary,"Ibogaine and addiction in the animal model, a systematic review and meta-analysis",2016,M Belgers; M Leenaars; J R Homberg; M Ritskes-Hoitinga; A F A Schellekens; C R Hooijmans,Translational Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-050b8edd82bd0ea4,mechanistic,full_text_relevant,10.1093/ijnp/pyaf052.363,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,544. MOLECULAR AND CELLULAR MECHANISMS OF THE LONG-LASTING EFFECTS OF PSYCHEDELICS AND THEIR NON-HALLUCINOGENIC DERIVATIVES,2025,A Aguilar-Valles; D Kot; V Lewis; G Coppola,International Journal of Neuropsychopharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-04dc85c0c738a5c9,mechanistic,full_text_relevant,10.1111/bph.17420,full_text,full_text_seen,relevant,likely_secondary,low,abstract_secondary,Psilocybin as a novel treatment for chronic pain,2024,Tate Askey; Reena Lasrado; Maria Maiarú; Gary J. Stephens,British Journal of Pharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-026796778bcab505,mechanistic,full_text_relevant,10.1177/1536012118788636,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Acute Ketamine Infusion in Rat Does Not Affect In Vivo [(11)C]ABP688 Binding to Metabotropic Glutamate Receptor Subtype 5.,2018,Kosten L; Verhaeghe J; Wyffels L; Stroobants S; Staelens S,Molecular imaging,Journal Article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-023aed444c948219,mechanistic,full_text_relevant,10.1192/bjp.2024.143,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Consistent evidence that brain serotonin 2A receptor binding is positively associated with personality-based risk markers of depression,2024,Emma S. Høgsted; Vincent Beliveau; Brice Ozenne; Martin K. Madsen; Claus Svarer; Vibeke H. Dam; Annette Johansen; Patrick Fisher; Gitte M. Knudsen; Vibe G. Frokjaer,The British Journal of Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-01f5a396639366d8,mechanistic,full_text_relevant,10.1523/jneurosci.22-01-j0003.2002,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Psychostimulants Differentially Regulate Serotonin Transporter Expression in Thalamocortical Neurons,2002,Terri L. Whitworth; Laura C. Herndon; Michael W. Quick,Journal of Neuroscience,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-02c7462840418be1,mechanistic,full_text_relevant,10.1523/jneurosci.23-26-08836.2003,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Transcriptome Fingerprints Distinguish Hallucinogenic and Nonhallucinogenic 5-Hydroxytryptamine 2A Receptor Agonist Effects in Mouse Somatosensory Cortex,2003,Javier González-Maeso; Tony Yuen; Barbara J. Ebersole; Elisa Wurmbach; Alena Lira; Mingming Zhou; Noelia Weisstaub; Rene Hen; Jay A. Gingrich; Stuart C. Sealfon,Journal of Neuroscience,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
