pilot_record_id,dataset,bucket,study_doi,input_tier,access_level,expected_screening_relevance,route_hint,route_hint_confidence,route_hint_basis,study_title,study_year,authors,study_journal,publication_type,screening_record_count,source_type,source_path
pilot-00cd95178344d3f3,disorder,abstract_relevant,10.1007/978-3-540-74806-9_15,abstract,abstract_only,relevant,unknown,low,publication_type_generic,Ketamine,2008,B. Sinner; B. M. Graf,Handbook of experimental pharmacology,book-chapter,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-00bbd8b6490e6e85,disorder,abstract_relevant,10.1016/j.jpsychires.2025.11.030,abstract,abstract_only,relevant,likely_primary,high,trial_registry_present,MDMA-assisted therapy for major depressive disorder: A seven-month follow-up proof of principle trial,2025,Tor-Morten Kvam; Justyna Rog; Lowan Han Stewart; Ingrid Autran; Mark Berthold-Losleben; Lynn Mørch-Johnsen; René Holst; Jan Ivar Røssberg; Ole A. Andreassen,Journal of Psychiatric Research,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-00e445aca3cefec6,disorder,abstract_relevant,10.1016/j.psychres.2018.08.078,abstract,abstract_only,relevant,likely_primary,low,abstract_primary,"Rapid inflammation modulation and antidepressant efficacy of a low-dose ketamine infusion in treatment-resistant depression: A randomized, double-blind control study",2018,Mu-Hong Chen; Cheng-Ta Li; Wei-Chen Lin; Chen-Jee Hong; Pei-Chi Tu; Ya-Mei Bai; Chih-Ming Cheng; Tung-Ping Su,Psychiatry Research,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-008b0d0d4eb3b9a4,disorder,abstract_relevant,10.1016/s0885-3924(01)00253-6,abstract,abstract_only,relevant,unknown,low,publication_type_generic,An Unusual Case of Chronic Neuropathic Pain Responds to an Optimum Frequency of Intravenous Ketamine Infusions,2001,Alison C Mitchell,Journal of Pain and Symptom Management,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-00e5d8496d0f8d96,disorder,abstract_relevant,10.1097/hrp.0000000000000198,abstract,abstract_only,relevant,likely_secondary,medium,title_secondary,Pain and Depression: A Systematic Review,2018,Waguih William IsHak; Raymond Y. Wen; Lancer Naghdechi; Brigitte Vanle; Jonathan Dang; Michelle Knosp; Julieta Dascal; Lobsang Marcia; Yasmine Gohar; Lidia Eskander,Harvard Review of Psychiatry,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-0094c3f987c3e187,mechanistic,abstract_relevant,10.1016/0304-3940(88)90658-1,abstract,abstract_only,relevant,unknown,low,publication_type_generic,Ring-substituted amphetamine interactions with neurotransmitter receptor binding sites in human cortex,1988,Pamela A. Pierce; Stephen J. Peroutka,Neuroscience Letters,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_extraction_candidates.jsonl
pilot-00d240fd48d0cafa,mechanistic,abstract_relevant,10.1016/j.tiv.2018.11.006,abstract,abstract_only,relevant,unknown,low,publication_type_generic,MDMA modulates 5-HT1-mediated contractile response of the human internal thoracic artery in vitro,2018,Diogo A. Fonseca; Cristina Teixeira; Félix Carvalho; Eduarda Fernandes; Pedro E. Antunes; Manuel J. Antunes; Maria Dulce Cotrim,Toxicology in Vitro,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_extraction_candidates.jsonl
pilot-007a06662eea63b5,mechanistic,abstract_relevant,10.1016/s0006-8993(02)02291-6,abstract,abstract_only,relevant,unknown,low,publication_type_generic,Nuclear factor κB activation is mediated by NMDA and non-NMDA receptor and L-type voltage-gated Ca2+ channel following severe global ischemia in rat hippocampus,2002,Wanhua Shen; Chunyi Zhang; Guangyi Zhang,Brain Research,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_extraction_candidates.jsonl
pilot-009514af3ed3a415,mechanistic,abstract_relevant,10.1126/scitranslmed.aaf7151,abstract,abstract_only,relevant,unknown,low,publication_type_generic,Post-anesthesia AMPA receptor potentiation prevents anesthesia-induced learning and synaptic deficits,2016,Lianyan Huang; Joseph Cichon; Ipe Ninan; Guang Yang,Science Translational Medicine,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_extraction_candidates.jsonl
pilot-00a1616e29ce5c7b,mechanistic,abstract_relevant,10.1177/0269881119844185,abstract,abstract_only,relevant,unknown,low,publication_type_generic,"Metabolites of the ring-substituted stimulants MDMA, methylone and MDPV differentially affect human monoaminergic systems",2019,Dino Luethi; Karolina E Kolaczynska; Melanie Walter; Masaki Suzuki; Kenner C Rice; Bruce E Blough; Marius C Hoener; Michael H Baumann; Matthias E Liechti,Journal of Psychopharmacology,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_extraction_candidates.jsonl
pilot-0afc92bc733aeb25,disorder,abstract_uncertain,10.1016/j.autrev.2018.10.003,abstract,abstract_only,uncertain,unknown,low,publication_type_generic,Complex regional pain syndrome – False hopes and miscommunications,2019,Christopher Chang; Patrick McDonnell; M. Eric Gershwin,Autoimmunity Reviews,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-06b824ade0d7f928,disorder,abstract_uncertain,10.1080/02604027.2024.2330255,abstract,abstract_only,uncertain,unknown,low,publication_type_generic,Defining 5-MeO-DMT in Historical and Cultural Contexts,2024,Azul Delgrasso,World Futures,article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-068cf12698237615,disorder,abstract_uncertain,10.1080/02791072.2024.2420044,abstract,abstract_only,uncertain,likely_primary,low,abstract_primary,"Rapid Effects of MDMA Administration on Self-Reported Personality Traits and Affect State: A Randomized, Placebo-Controlled Trial in Healthy Adults",2024,Jessica L. Maples-Keller; Courtland S. Hyatt; Nathaniel L. Phillips; Brinkley M. Sharpe; Andrew Sherrill; Carly Yasinski; Collin Reiff; Jeffrey Rakofsky; Sheila A. M. Rauch; Boadie W. Dunlop,Journal of Psychoactive Drugs,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-07b1bdbcc1eefffd,disorder,abstract_uncertain,10.1089/psymed.2024.0015,abstract,abstract_only,uncertain,likely_primary,low,abstract_primary,"Qualitative Analysis of Views of Psychedelic-Assisted Therapy in Low-Income, Urban, Black Americans",2025,Sierra Carter; Grace Packard; Jessica L. Maples-Keller,Psychedelic Medicine,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-05b3a70996fc9e2a,disorder,abstract_uncertain,10.1136/bmj.o74,abstract,abstract_only,uncertain,unknown,low,publication_type_generic,Ketamine for suicidal ideation,2022,Riccardo De Giorgi,BMJ,article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-07bb9934a667e409,mechanistic,abstract_uncertain,10.1007/s00213-015-4142-4,abstract,abstract_only,uncertain,unknown,low,publication_type_generic,"Differential effects of 3,4-methylenedioxypyrovalerone (MDPV) and 4-methylmethcathinone (mephedrone) in rats trained to discriminate MDMA or a d-amphetamine + MDMA mixture",2015,Eric L. Harvey; Lisa E. Baker,Psychopharmacology,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_extraction_candidates.jsonl
pilot-08d4d4d53d859e23,mechanistic,abstract_uncertain,10.1016/j.neulet.2024.138026,abstract,abstract_only,uncertain,unknown,low,publication_type_generic,Joint administration of sub-threshold doses of the acetylcholinesterase inhibitor donepezil with those of the NMDA receptor antagonist ketamine improved rats’ recognition memory abilities,2024,Angeliki Metaxia Styla; Nikolaos Pitsikas,Neuroscience Letters,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_extraction_candidates.jsonl
pilot-07d0d1c9b296b2a9,mechanistic,abstract_uncertain,10.1016/j.pnpbp.2022.110609,abstract,abstract_only,uncertain,unknown,low,publication_type_generic,Molecular mechanisms underlying the N-methyl-d-aspartate receptor antagonists: Highlighting their potential for transdiagnostic therapeutics,2022,Christina Driver; Timothy N.W. Jackson; Jim Lagopoulos; Daniel F. Hermens,Progress in Neuro-Psychopharmacology and Biological Psychiatry,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_extraction_candidates.jsonl
pilot-070392f06521179c,mechanistic,abstract_uncertain,10.1038/npp.2014.191,abstract,abstract_only,uncertain,unknown,low,publication_type_generic,Effects of Social Interaction and Warm Ambient Temperature on Brain Hyperthermia Induced by the Designer Drugs Methylone and MDPV,2014,Eugene A Kiyatkin; Albert H Kim; Ken T Wakabayashi; Michael H Baumann; Yavin Shaham,Neuropsychopharmacology,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_extraction_candidates.jsonl
pilot-075b2fe1890e0de2,mechanistic,abstract_uncertain,10.1097/fbp.0000000000000309,abstract,abstract_only,uncertain,unknown,low,publication_type_generic,Locomotor and discriminative stimulus effects of four novel hallucinogens in rodents,2017,Michael B. Gatch; Sean B. Dolan; Michael J. Forster,Behavioural Pharmacology,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_extraction_candidates.jsonl
pilot-016914d515109cdf,disorder,abstract_irrelevant,10.1007/s12144-023-05119-6,abstract,abstract_only,irrelevant,unknown,low,publication_type_generic,"Effects of conscious connected breathing on cortical brain activity, mood and state of consciousness in healthy adults",2023,Camile Bahi; Mona Irrmischer; Katrien Franken; George Fejer; Anna Schlenker; Jan Berend Deijen; Hessel Engelbregt,Current Psychology,journal-article,1,screening_negative_control,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/llm_abstract_screening_report_disorder.json
pilot-01a308f87f43de86,disorder,abstract_irrelevant,10.1080/19585969.2024.2398456,abstract,abstract_only,irrelevant,unknown,low,publication_type_generic,Examining the influence of team-based learning on medical students’ comprehension and attitudes regarding psychedelic therapies,2024,Shiven Chaudhry; Anne E. Weisman; Molly Hagen; Kathryn L. S. Pauli; Burton J. Tabaac,Dialogues in Clinical Neuroscience,journal-article,1,screening_negative_control,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/llm_abstract_screening_report_disorder.json
pilot-00e1414049a19792,disorder,abstract_irrelevant,10.1097/01.aco.0000192802.33291.6f,abstract,abstract_only,irrelevant,likely_secondary,low,abstract_secondary,Recent developments in the pharmacological management of pain in children,2006,Brian J. Anderson; Greta M. Palmer,Current Opinion in Anaesthesiology,journal-article,1,screening_negative_control,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/llm_abstract_screening_report_disorder.boolean_full_v1.json
pilot-013962a0dffa3382,disorder,abstract_irrelevant,10.1101/2023.06.01.543303,abstract,abstract_only,irrelevant,unknown,low,publication_type_generic,5-MeO-DMT induces sleep-like LFP spectral signatures in the hippocampus and prefrontal cortex of awake rats,2023,Annie da Costa Souza; Bryan da Costa Souza; Arthur França; Marzieh Moradi; Nicholy da Costa Souza; Katarina Leão; Adriano Bretanha Lopes Tort; Richardson Leão; Vítor Lopes-dos-Santos; Sidarta Ribeiro,bioRxiv (Cold Spring Harbor Laboratory),posted-content,1,screening_negative_control,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/llm_abstract_screening_report_disorder.json
pilot-01c09eb0d1bd4ebd,disorder,abstract_irrelevant,10.3389/fpsyg.2024.1340335,abstract,abstract_only,irrelevant,unknown,low,publication_type_generic,Documenting and defining emergent phenomenology: theoretical foundations for an extensive research strategy,2024,Olivier Sandilands; Daniel M. Ingram,Frontiers in Psychology,journal-article,1,screening_negative_control,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/llm_abstract_screening_report_disorder.boolean_full_v1.json
pilot-0262a25fb8f0a003,mechanistic,abstract_irrelevant,10.1007/s40429-021-00385-5,abstract,abstract_only,irrelevant,likely_secondary,low,abstract_secondary,"Safer Tripping: Serotonergic Psychedelics and Drug Checking. Submission and Detection Rates, Potential Harms, and Challenges for Drug Analysis",2021,Tim Hirschfeld; Laura Smit-Rigter; Daan van der Gouwe; Simon Reiche; Heino Stöver; Tomislav Majić,Current Addiction Reports,journal-article,1,screening_negative_control,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/llm_abstract_screening_report_mechanistic.json
pilot-02283d13198deb2c,mechanistic,abstract_irrelevant,10.1016/0028-3908(92)90080-9,abstract,abstract_only,irrelevant,unknown,low,publication_type_generic,The effects of corticosterone on 5-HT receptor function in rodents,1992,A.H. Young; L.M. MacDonald; H. St John; H. Dick; G.M. Goodwin,Neuropharmacology,journal-article,1,screening_negative_control,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/llm_abstract_screening_report_mechanistic.json
pilot-021392819b1fdb1f,mechanistic,abstract_irrelevant,10.1038/s41597-022-01822-4,abstract,abstract_only,irrelevant,likely_secondary,medium,title_secondary,The Altered States Database: Psychometric data from a systematic literature review,2022,Johanna Prugger; Ekin Derdiyok; Jannis Dinkelacker; Cyril Costines; Timo T. Schmidt,Scientific Data,journal-article,1,screening_negative_control,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/llm_abstract_screening_report_mechanistic.json
pilot-02dac39c96896461,mechanistic,abstract_irrelevant,10.1101/2020.08.19.258145,abstract,abstract_only,irrelevant,unknown,low,publication_type_generic,Neural and subjective effects of inhaled DMT in natural settings,2020,Carla Pallavicini; Federico Cavanna; Federico Zamberlan; Laura Alethia de la Fuente; Yonatan Sanz Perl; Mauricio Arias; Celeste Romero; Robin Carhart-Harris; Christopher Timmermann; Enzo Tagliazucchi,bioRxiv (Cold Spring Harbor Laboratory),posted-content,1,screening_negative_control,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/llm_abstract_screening_report_mechanistic.json
pilot-02792051951f9373,mechanistic,abstract_irrelevant,10.3389/fphar.2023.1208957,abstract,abstract_only,irrelevant,likely_context_only,high,publication_type_secondary | publication_type_context | title_context,Editorial: Pharmacology of new psychoactive substances,2023,K. Lutfy; R. Pechnick; N. Darmani,Frontiers in Pharmacology,JournalArticle | Editorial | Review,1,screening_negative_control,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/llm_abstract_screening_report_mechanistic.json
